index,sign,astrology_sign,importance
12656,cancer but it doesn't matter,cancer,no importance
12657,aquarius,aquarius,no importance
12658,gemini,gemini,no importance
12659,capricorn and it's fun to think about,capricorn,fun
12660,cancer and it's fun to think about,cancer,fun
12661,leo and it's fun to think about,leo,fun
12662,Unknown,Unknown,Unknown
12663,Unknown,Unknown,Unknown
12664,leo and it's fun to think about,leo,fun
12665,aquarius but it doesn't matter,aquarius,no importance
12666,aries but it doesn't matter,aries,no importance
12667,capricorn but it doesn't matter,capricorn,no importance
12668,aries and it's fun to think about,aries,fun
12669,cancer,cancer,no importance
12670,leo but it doesn't matter,leo,no importance
12671,cancer and it's fun to think about,cancer,fun
12672,taurus,taurus,no importance
12673,sagittarius,sagittarius,no importance
12674,pisces but it doesn't matter,pisces,no importance
12675,aquarius but it doesn't matter,aquarius,no importance
12676,Unknown,Unknown,Unknown
12677,libra but it doesn't matter,libra,no importance
12678,taurus and it's fun to think about,taurus,fun
12679,virgo,virgo,no importance
12680,aries and it's fun to think about,aries,fun
12681,libra,libra,no importance
12682,cancer and it's fun to think about,cancer,fun
12683,Unknown,Unknown,Unknown
12684,Unknown,Unknown,Unknown
12685,leo but it doesn't matter,leo,no importance
12686,Unknown,Unknown,Unknown
12687,leo,leo,no importance
12688,libra and it's fun to think about,libra,fun
12689,scorpio but it doesn't matter,scorpio,no importance
12690,cancer but it doesn't matter,cancer,no importance
12691,taurus but it doesn't matter,taurus,no importance
12692,taurus,taurus,no importance
12693,aries and it's fun to think about,aries,fun
12694,cancer,cancer,no importance
12695,gemini and it's fun to think about,gemini,fun
12696,taurus and it's fun to think about,taurus,fun
12697,scorpio but it doesn't matter,scorpio,no importance
12698,taurus but it doesn't matter,taurus,no importance
12699,Unknown,Unknown,Unknown
12700,Unknown,Unknown,Unknown
12701,gemini,gemini,no importance
12702,gemini,gemini,no importance
12703,aquarius,aquarius,no importance
12704,Unknown,Unknown,Unknown
12705,taurus and it's fun to think about,taurus,fun
12706,taurus,taurus,no importance
12707,libra and it's fun to think about,libra,fun
12708,aries but it doesn't matter,aries,no importance
12709,leo,leo,no importance
12710,taurus but it doesn't matter,taurus,no importance
12711,pisces,pisces,no importance
12712,virgo,virgo,no importance
12713,Unknown,Unknown,Unknown
12714,leo but it doesn't matter,leo,no importance
12715,aries,aries,no importance
12716,Unknown,Unknown,Unknown
12717,pisces but it doesn't matter,pisces,no importance
12718,gemini and it's fun to think about,gemini,fun
12719,scorpio but it doesn't matter,scorpio,no importance
12720,cancer and it's fun to think about,cancer,fun
12721,aquarius but it doesn't matter,aquarius,no importance
12722,Unknown,Unknown,Unknown
12723,taurus but it doesn't matter,taurus,no importance
12724,virgo,virgo,no importance
12725,gemini but it doesn't matter,gemini,no importance
12726,aries and it's fun to think about,aries,fun
12727,capricorn but it doesn't matter,capricorn,no importance
12728,aries and it's fun to think about,aries,fun
12729,Unknown,Unknown,Unknown
12730,Unknown,Unknown,Unknown
12731,Unknown,Unknown,Unknown
12732,gemini and it's fun to think about,gemini,fun
12733,virgo but it doesn't matter,virgo,no importance
12734,gemini and it's fun to think about,gemini,fun
12735,cancer,cancer,no importance
12736,Unknown,Unknown,Unknown
12737,leo but it doesn't matter,leo,no importance
12738,Unknown,Unknown,Unknown
12739,Unknown,Unknown,Unknown
12740,aquarius but it doesn't matter,aquarius,no importance
12741,capricorn and it's fun to think about,capricorn,fun
12742,cancer but it doesn't matter,cancer,no importance
12743,pisces and it's fun to think about,pisces,fun
12744,aries and it's fun to think about,aries,fun
12745,Unknown,Unknown,Unknown
12746,scorpio but it doesn't matter,scorpio,no importance
12747,leo,leo,no importance
12748,cancer but it doesn't matter,cancer,no importance
12749,leo and it's fun to think about,leo,fun
12750,libra but it doesn't matter,libra,no importance
12751,gemini but it doesn't matter,gemini,no importance
12752,virgo,virgo,no importance
12753,Unknown,Unknown,Unknown
12754,Unknown,Unknown,Unknown
12755,taurus but it doesn't matter,taurus,no importance
12756,leo and it's fun to think about,leo,fun
12757,gemini,gemini,no importance
12758,sagittarius but it doesn't matter,sagittarius,no importance
12759,gemini but it doesn't matter,gemini,no importance
12760,aries but it doesn't matter,aries,no importance
12761,cancer and it's fun to think about,cancer,fun
12762,aries but it doesn't matter,aries,no importance
12763,cancer and it's fun to think about,cancer,fun
12764,Unknown,Unknown,Unknown
12765,pisces and it's fun to think about,pisces,fun
12766,scorpio and it's fun to think about,scorpio,fun
12767,taurus and it's fun to think about,taurus,fun
12768,pisces,pisces,no importance
12769,pisces and it's fun to think about,pisces,fun
12770,sagittarius and it's fun to think about,sagittarius,fun
12771,leo and it's fun to think about,leo,fun
12772,pisces and it's fun to think about,pisces,fun
12773,cancer and it's fun to think about,cancer,fun
12774,aquarius but it doesn't matter,aquarius,no importance
12775,taurus but it doesn't matter,taurus,no importance
12776,taurus and it's fun to think about,taurus,fun
12777,libra and it matters a lot,libra,importance
12778,cancer but it doesn't matter,cancer,no importance
12779,aries,aries,no importance
12780,sagittarius but it doesn't matter,sagittarius,no importance
12781,Unknown,Unknown,Unknown
12782,Unknown,Unknown,Unknown
12783,virgo and it's fun to think about,virgo,fun
12784,aries,aries,no importance
12785,capricorn and it's fun to think about,capricorn,fun
12786,gemini but it doesn't matter,gemini,no importance
12787,Unknown,Unknown,Unknown
12788,gemini and it's fun to think about,gemini,fun
12789,capricorn and it's fun to think about,capricorn,fun
12790,capricorn,capricorn,no importance
12791,scorpio,scorpio,no importance
12792,aquarius and it's fun to think about,aquarius,fun
12793,sagittarius,sagittarius,no importance
12794,Unknown,Unknown,Unknown
12795,Unknown,Unknown,Unknown
12796,libra and it's fun to think about,libra,fun
12797,gemini and it's fun to think about,gemini,fun
12798,sagittarius and it's fun to think about,sagittarius,fun
12799,gemini and it's fun to think about,gemini,fun
12800,capricorn and it's fun to think about,capricorn,fun
12801,leo and it's fun to think about,leo,fun
12802,Unknown,Unknown,Unknown
12803,pisces but it doesn't matter,pisces,no importance
12804,scorpio and it's fun to think about,scorpio,fun
12805,libra and it's fun to think about,libra,fun
12806,leo,leo,no importance
12807,scorpio and it's fun to think about,scorpio,fun
12808,libra but it doesn't matter,libra,no importance
12809,pisces and it's fun to think about,pisces,fun
12810,gemini and it's fun to think about,gemini,fun
12811,libra and it's fun to think about,libra,fun
12812,aries but it doesn't matter,aries,no importance
12813,cancer,cancer,no importance
12814,sagittarius and it matters a lot,sagittarius,importance
12815,capricorn but it doesn't matter,capricorn,no importance
12816,aries,aries,no importance
12817,Unknown,Unknown,Unknown
12818,scorpio and it's fun to think about,scorpio,fun
12819,libra but it doesn't matter,libra,no importance
12820,taurus but it doesn't matter,taurus,no importance
12821,cancer but it doesn't matter,cancer,no importance
12822,sagittarius and it's fun to think about,sagittarius,fun
12823,Unknown,Unknown,Unknown
12824,cancer but it doesn't matter,cancer,no importance
12825,Unknown,Unknown,Unknown
12826,cancer but it doesn't matter,cancer,no importance
12827,libra,libra,no importance
12828,libra,libra,no importance
12829,capricorn and it's fun to think about,capricorn,fun
12830,sagittarius but it doesn't matter,sagittarius,no importance
12831,libra,libra,no importance
12832,virgo but it doesn't matter,virgo,no importance
12833,scorpio but it doesn't matter,scorpio,no importance
12834,taurus but it doesn't matter,taurus,no importance
12835,gemini,gemini,no importance
12836,Unknown,Unknown,Unknown
12837,taurus,taurus,no importance
12838,taurus,taurus,no importance
12839,Unknown,Unknown,Unknown
12840,aquarius,aquarius,no importance
12841,capricorn and it's fun to think about,capricorn,fun
12842,aries and it's fun to think about,aries,fun
12843,aquarius but it doesn't matter,aquarius,no importance
12844,aquarius and it's fun to think about,aquarius,fun
12845,taurus,taurus,no importance
12846,libra and it's fun to think about,libra,fun
12847,virgo,virgo,no importance
12848,scorpio and it's fun to think about,scorpio,fun
12849,capricorn but it doesn't matter,capricorn,no importance
12850,leo but it doesn't matter,leo,no importance
12851,leo,leo,no importance
12852,gemini and it's fun to think about,gemini,fun
12853,Unknown,Unknown,Unknown
12854,sagittarius and it's fun to think about,sagittarius,fun
12855,Unknown,Unknown,Unknown
12856,gemini,gemini,no importance
12857,cancer but it doesn't matter,cancer,no importance
12858,aquarius and it's fun to think about,aquarius,fun
12859,libra and it's fun to think about,libra,fun
12860,aquarius and it's fun to think about,aquarius,fun
12861,virgo,virgo,no importance
12862,Unknown,Unknown,Unknown
12863,sagittarius but it doesn't matter,sagittarius,no importance
12864,virgo,virgo,no importance
12865,Unknown,Unknown,Unknown
12866,aquarius,aquarius,no importance
12867,aries,aries,no importance
12868,Unknown,Unknown,Unknown
12869,virgo and it's fun to think about,virgo,fun
12870,pisces but it doesn't matter,pisces,no importance
12871,sagittarius and it's fun to think about,sagittarius,fun
12872,Unknown,Unknown,Unknown
12873,capricorn but it doesn't matter,capricorn,no importance
12874,taurus and it's fun to think about,taurus,fun
12875,virgo and it's fun to think about,virgo,fun
12876,Unknown,Unknown,Unknown
12877,libra,libra,no importance
12878,Unknown,Unknown,Unknown
12879,Unknown,Unknown,Unknown
12880,cancer and it matters a lot,cancer,importance
12881,gemini,gemini,no importance
12882,libra and it matters a lot,libra,importance
12883,leo but it doesn't matter,leo,no importance
12884,aquarius,aquarius,no importance
12885,leo and it's fun to think about,leo,fun
12886,cancer but it doesn't matter,cancer,no importance
12887,capricorn but it doesn't matter,capricorn,no importance
12888,aquarius but it doesn't matter,aquarius,no importance
12889,Unknown,Unknown,Unknown
12890,scorpio,scorpio,no importance
12891,gemini and it's fun to think about,gemini,fun
12892,aquarius and it's fun to think about,aquarius,fun
12893,Unknown,Unknown,Unknown
12894,taurus and it's fun to think about,taurus,fun
12895,leo but it doesn't matter,leo,no importance
12896,virgo but it doesn't matter,virgo,no importance
12897,cancer and it's fun to think about,cancer,fun
12898,virgo and it's fun to think about,virgo,fun
12899,cancer,cancer,no importance
12900,Unknown,Unknown,Unknown
12901,capricorn but it doesn't matter,capricorn,no importance
12902,sagittarius and it's fun to think about,sagittarius,fun
12903,sagittarius but it doesn't matter,sagittarius,no importance
12904,aries but it doesn't matter,aries,no importance
12905,cancer but it doesn't matter,cancer,no importance
12906,aquarius but it doesn't matter,aquarius,no importance
12907,aries but it doesn't matter,aries,no importance
12908,taurus and it's fun to think about,taurus,fun
12909,capricorn and it's fun to think about,capricorn,fun
12910,cancer,cancer,no importance
12911,aries and it's fun to think about,aries,fun
12912,Unknown,Unknown,Unknown
12913,libra and it's fun to think about,libra,fun
12914,Unknown,Unknown,Unknown
12915,virgo but it doesn't matter,virgo,no importance
12916,Unknown,Unknown,Unknown
12917,libra but it doesn't matter,libra,no importance
12918,capricorn,capricorn,no importance
12919,Unknown,Unknown,Unknown
12920,sagittarius and it's fun to think about,sagittarius,fun
12921,aries,aries,no importance
12922,libra,libra,no importance
12923,pisces,pisces,no importance
12924,Unknown,Unknown,Unknown
12925,gemini and it's fun to think about,gemini,fun
12926,pisces,pisces,no importance
12927,pisces,pisces,no importance
12928,taurus and it's fun to think about,taurus,fun
12929,libra but it doesn't matter,libra,no importance
12930,aries but it doesn't matter,aries,no importance
12931,pisces and it's fun to think about,pisces,fun
12932,pisces and it's fun to think about,pisces,fun
12933,leo and it's fun to think about,leo,fun
12934,Unknown,Unknown,Unknown
12935,virgo but it doesn't matter,virgo,no importance
12936,cancer and it matters a lot,cancer,importance
12937,aries but it doesn't matter,aries,no importance
12938,taurus but it doesn't matter,taurus,no importance
12939,Unknown,Unknown,Unknown
12940,gemini,gemini,no importance
12941,aquarius,aquarius,no importance
12942,capricorn but it doesn't matter,capricorn,no importance
12943,gemini and it's fun to think about,gemini,fun
12944,aries,aries,no importance
12945,gemini but it doesn't matter,gemini,no importance
12946,libra but it doesn't matter,libra,no importance
12947,scorpio and it's fun to think about,scorpio,fun
12948,Unknown,Unknown,Unknown
12949,gemini but it doesn't matter,gemini,no importance
12950,pisces but it doesn't matter,pisces,no importance
12951,taurus and it's fun to think about,taurus,fun
12952,leo,leo,no importance
12953,virgo but it doesn't matter,virgo,no importance
12954,scorpio and it's fun to think about,scorpio,fun
12955,aquarius but it doesn't matter,aquarius,no importance
12956,aries and it's fun to think about,aries,fun
12957,leo but it doesn't matter,leo,no importance
12958,sagittarius,sagittarius,no importance
12959,taurus and it's fun to think about,taurus,fun
12960,leo but it doesn't matter,leo,no importance
12961,Unknown,Unknown,Unknown
12962,Unknown,Unknown,Unknown
12963,leo but it doesn't matter,leo,no importance
12964,Unknown,Unknown,Unknown
12965,aries but it doesn't matter,aries,no importance
12966,cancer,cancer,no importance
12967,taurus and it's fun to think about,taurus,fun
12968,gemini,gemini,no importance
12969,aquarius and it's fun to think about,aquarius,fun
12970,Unknown,Unknown,Unknown
12971,aries and it's fun to think about,aries,fun
12972,capricorn and it's fun to think about,capricorn,fun
12973,Unknown,Unknown,Unknown
12974,taurus but it doesn't matter,taurus,no importance
12975,scorpio but it doesn't matter,scorpio,no importance
12976,Unknown,Unknown,Unknown
12977,gemini and it's fun to think about,gemini,fun
12978,Unknown,Unknown,Unknown
12979,Unknown,Unknown,Unknown
12980,capricorn,capricorn,no importance
12981,libra and it's fun to think about,libra,fun
12982,Unknown,Unknown,Unknown
12983,libra and it's fun to think about,libra,fun
12984,cancer but it doesn't matter,cancer,no importance
12985,taurus,taurus,no importance
12986,aquarius and it's fun to think about,aquarius,fun
12987,Unknown,Unknown,Unknown
12988,Unknown,Unknown,Unknown
12989,Unknown,Unknown,Unknown
12990,sagittarius but it doesn't matter,sagittarius,no importance
12991,aquarius,aquarius,no importance
12992,Unknown,Unknown,Unknown
12993,leo and it's fun to think about,leo,fun
12994,scorpio and it's fun to think about,scorpio,fun
12995,cancer and it matters a lot,cancer,importance
12996,Unknown,Unknown,Unknown
12997,capricorn and it's fun to think about,capricorn,fun
12998,virgo but it doesn't matter,virgo,no importance
12999,aries but it doesn't matter,aries,no importance
13000,Unknown,Unknown,Unknown
13001,scorpio but it doesn't matter,scorpio,no importance
13002,scorpio but it doesn't matter,scorpio,no importance
13003,leo and it's fun to think about,leo,fun
13004,taurus and it's fun to think about,taurus,fun
13005,libra,libra,no importance
13006,Unknown,Unknown,Unknown
13007,libra and it's fun to think about,libra,fun
13008,aries and it's fun to think about,aries,fun
13009,leo and it's fun to think about,leo,fun
13010,taurus but it doesn't matter,taurus,no importance
13011,leo,leo,no importance
13012,taurus but it doesn't matter,taurus,no importance
13013,aquarius and it's fun to think about,aquarius,fun
13014,cancer but it doesn't matter,cancer,no importance
13015,taurus,taurus,no importance
13016,libra but it doesn't matter,libra,no importance
13017,virgo,virgo,no importance
13018,libra,libra,no importance
13019,capricorn,capricorn,no importance
13020,gemini but it doesn't matter,gemini,no importance
13021,gemini but it doesn't matter,gemini,no importance
13022,aries and it's fun to think about,aries,fun
13023,Unknown,Unknown,Unknown
13024,libra and it's fun to think about,libra,fun
13025,Unknown,Unknown,Unknown
13026,libra,libra,no importance
13027,aquarius and it's fun to think about,aquarius,fun
13028,virgo,virgo,no importance
13029,virgo and it's fun to think about,virgo,fun
13030,leo and it's fun to think about,leo,fun
13031,Unknown,Unknown,Unknown
13032,scorpio,scorpio,no importance
13033,leo and it's fun to think about,leo,fun
13034,taurus and it's fun to think about,taurus,fun
13035,gemini but it doesn't matter,gemini,no importance
13036,cancer but it doesn't matter,cancer,no importance
13037,pisces and it's fun to think about,pisces,fun
13038,leo and it's fun to think about,leo,fun
13039,capricorn and it's fun to think about,capricorn,fun
13040,cancer,cancer,no importance
13041,virgo and it's fun to think about,virgo,fun
13042,leo but it doesn't matter,leo,no importance
13043,sagittarius,sagittarius,no importance
13044,pisces but it doesn't matter,pisces,no importance
13045,Unknown,Unknown,Unknown
13046,capricorn and it's fun to think about,capricorn,fun
13047,taurus and it's fun to think about,taurus,fun
13048,cancer and it's fun to think about,cancer,fun
13049,taurus but it doesn't matter,taurus,no importance
13050,sagittarius,sagittarius,no importance
13051,cancer and it's fun to think about,cancer,fun
13052,Unknown,Unknown,Unknown
13053,taurus and it's fun to think about,taurus,fun
13054,pisces but it doesn't matter,pisces,no importance
13055,aries and it's fun to think about,aries,fun
13056,scorpio,scorpio,no importance
13057,libra,libra,no importance
13058,scorpio and it's fun to think about,scorpio,fun
13059,taurus and it's fun to think about,taurus,fun
13060,leo but it doesn't matter,leo,no importance
13061,sagittarius and it's fun to think about,sagittarius,fun
13062,cancer and it's fun to think about,cancer,fun
13063,gemini but it doesn't matter,gemini,no importance
13064,leo but it doesn't matter,leo,no importance
13065,aquarius,aquarius,no importance
13066,capricorn and it's fun to think about,capricorn,fun
13067,libra and it's fun to think about,libra,fun
13068,aries and it's fun to think about,aries,fun
13069,virgo and it's fun to think about,virgo,fun
13070,Unknown,Unknown,Unknown
13071,leo but it doesn't matter,leo,no importance
13072,Unknown,Unknown,Unknown
13073,sagittarius,sagittarius,no importance
13074,scorpio and it matters a lot,scorpio,importance
13075,Unknown,Unknown,Unknown
13076,libra but it doesn't matter,libra,no importance
13077,capricorn but it doesn't matter,capricorn,no importance
13078,Unknown,Unknown,Unknown
13079,scorpio and it's fun to think about,scorpio,fun
13080,aquarius but it doesn't matter,aquarius,no importance
13081,Unknown,Unknown,Unknown
13082,taurus and it's fun to think about,taurus,fun
13083,capricorn and it's fun to think about,capricorn,fun
13084,virgo and it's fun to think about,virgo,fun
13085,gemini but it doesn't matter,gemini,no importance
13086,Unknown,Unknown,Unknown
13087,gemini and it's fun to think about,gemini,fun
13088,aquarius but it doesn't matter,aquarius,no importance
13089,leo,leo,no importance
13090,cancer but it doesn't matter,cancer,no importance
13091,capricorn,capricorn,no importance
13092,aquarius but it doesn't matter,aquarius,no importance
13093,leo,leo,no importance
13094,Unknown,Unknown,Unknown
13095,scorpio and it's fun to think about,scorpio,fun
13096,capricorn and it's fun to think about,capricorn,fun
13097,taurus,taurus,no importance
13098,pisces,pisces,no importance
13099,Unknown,Unknown,Unknown
13100,pisces and it's fun to think about,pisces,fun
13101,virgo but it doesn't matter,virgo,no importance
13102,libra,libra,no importance
13103,Unknown,Unknown,Unknown
13104,Unknown,Unknown,Unknown
13105,aquarius and it's fun to think about,aquarius,fun
13106,scorpio but it doesn't matter,scorpio,no importance
13107,pisces and it's fun to think about,pisces,fun
13108,virgo and it's fun to think about,virgo,fun
13109,taurus,taurus,no importance
13110,capricorn,capricorn,no importance
13111,scorpio,scorpio,no importance
13112,pisces but it doesn't matter,pisces,no importance
13113,cancer and it's fun to think about,cancer,fun
13114,libra and it's fun to think about,libra,fun
13115,gemini but it doesn't matter,gemini,no importance
13116,cancer and it's fun to think about,cancer,fun
13117,Unknown,Unknown,Unknown
13118,aries,aries,no importance
13119,virgo and it's fun to think about,virgo,fun
13120,pisces but it doesn't matter,pisces,no importance
13121,Unknown,Unknown,Unknown
13122,capricorn but it doesn't matter,capricorn,no importance
13123,leo and it's fun to think about,leo,fun
13124,Unknown,Unknown,Unknown
13125,aquarius and it's fun to think about,aquarius,fun
13126,aquarius,aquarius,no importance
13127,libra but it doesn't matter,libra,no importance
13128,sagittarius,sagittarius,no importance
13129,gemini,gemini,no importance
13130,gemini and it's fun to think about,gemini,fun
13131,cancer and it matters a lot,cancer,importance
13132,scorpio but it doesn't matter,scorpio,no importance
13133,leo and it's fun to think about,leo,fun
13134,gemini and it's fun to think about,gemini,fun
13135,Unknown,Unknown,Unknown
13136,leo but it doesn't matter,leo,no importance
13137,capricorn and it's fun to think about,capricorn,fun
13138,virgo and it's fun to think about,virgo,fun
13139,libra and it's fun to think about,libra,fun
13140,capricorn and it's fun to think about,capricorn,fun
13141,aries and it's fun to think about,aries,fun
13142,virgo but it doesn't matter,virgo,no importance
13143,leo but it doesn't matter,leo,no importance
13144,cancer but it doesn't matter,cancer,no importance
13145,scorpio and it's fun to think about,scorpio,fun
13146,Unknown,Unknown,Unknown
13147,cancer and it's fun to think about,cancer,fun
13148,aquarius and it's fun to think about,aquarius,fun
13149,leo and it's fun to think about,leo,fun
13150,aries,aries,no importance
13151,scorpio but it doesn't matter,scorpio,no importance
13152,cancer but it doesn't matter,cancer,no importance
13153,cancer but it doesn't matter,cancer,no importance
13154,virgo and it's fun to think about,virgo,fun
13155,leo but it doesn't matter,leo,no importance
13156,pisces,pisces,no importance
13157,capricorn and it's fun to think about,capricorn,fun
13158,Unknown,Unknown,Unknown
13159,pisces but it doesn't matter,pisces,no importance
13160,capricorn but it doesn't matter,capricorn,no importance
13161,aquarius and it's fun to think about,aquarius,fun
13162,gemini,gemini,no importance
13163,libra but it doesn't matter,libra,no importance
13164,leo and it's fun to think about,leo,fun
13165,pisces and it's fun to think about,pisces,fun
13166,scorpio but it doesn't matter,scorpio,no importance
13167,leo,leo,no importance
13168,aquarius but it doesn't matter,aquarius,no importance
13169,libra but it doesn't matter,libra,no importance
13170,gemini but it doesn't matter,gemini,no importance
13171,aquarius but it doesn't matter,aquarius,no importance
13172,aries but it doesn't matter,aries,no importance
13173,gemini and it's fun to think about,gemini,fun
13174,Unknown,Unknown,Unknown
13175,virgo,virgo,no importance
13176,Unknown,Unknown,Unknown
13177,Unknown,Unknown,Unknown
13178,libra and it's fun to think about,libra,fun
13179,sagittarius,sagittarius,no importance
13180,Unknown,Unknown,Unknown
13181,gemini,gemini,no importance
13182,aries and it's fun to think about,aries,fun
13183,Unknown,Unknown,Unknown
13184,Unknown,Unknown,Unknown
13185,leo and it's fun to think about,leo,fun
13186,aries and it's fun to think about,aries,fun
13187,libra but it doesn't matter,libra,no importance
13188,Unknown,Unknown,Unknown
13189,virgo and it's fun to think about,virgo,fun
13190,leo,leo,no importance
13191,leo but it doesn't matter,leo,no importance
13192,virgo and it's fun to think about,virgo,fun
13193,Unknown,Unknown,Unknown
13194,aries and it's fun to think about,aries,fun
13195,scorpio and it's fun to think about,scorpio,fun
13196,cancer,cancer,no importance
13197,aquarius and it's fun to think about,aquarius,fun
13198,libra but it doesn't matter,libra,no importance
13199,Unknown,Unknown,Unknown
13200,sagittarius,sagittarius,no importance
13201,aquarius,aquarius,no importance
13202,capricorn and it's fun to think about,capricorn,fun
13203,pisces and it's fun to think about,pisces,fun
13204,pisces,pisces,no importance
13205,Unknown,Unknown,Unknown
13206,Unknown,Unknown,Unknown
13207,aries but it doesn't matter,aries,no importance
13208,scorpio and it's fun to think about,scorpio,fun
13209,Unknown,Unknown,Unknown
13210,Unknown,Unknown,Unknown
13211,pisces but it doesn't matter,pisces,no importance
13212,libra and it's fun to think about,libra,fun
13213,Unknown,Unknown,Unknown
13214,sagittarius but it doesn't matter,sagittarius,no importance
13215,scorpio and it's fun to think about,scorpio,fun
13216,pisces and it's fun to think about,pisces,fun
13217,aquarius but it doesn't matter,aquarius,no importance
13218,scorpio but it doesn't matter,scorpio,no importance
13219,aquarius and it's fun to think about,aquarius,fun
13220,gemini but it doesn't matter,gemini,no importance
13221,aquarius,aquarius,no importance
13222,aquarius and it's fun to think about,aquarius,fun
13223,leo and it's fun to think about,leo,fun
13224,aries and it's fun to think about,aries,fun
13225,aquarius but it doesn't matter,aquarius,no importance
13226,virgo and it's fun to think about,virgo,fun
13227,taurus but it doesn't matter,taurus,no importance
13228,cancer but it doesn't matter,cancer,no importance
13229,capricorn but it doesn't matter,capricorn,no importance
13230,cancer,cancer,no importance
13231,sagittarius and it's fun to think about,sagittarius,fun
13232,virgo and it's fun to think about,virgo,fun
13233,sagittarius,sagittarius,no importance
13234,cancer,cancer,no importance
13235,libra and it's fun to think about,libra,fun
13236,Unknown,Unknown,Unknown
13237,capricorn but it doesn't matter,capricorn,no importance
13238,aquarius and it's fun to think about,aquarius,fun
13239,Unknown,Unknown,Unknown
13240,scorpio and it's fun to think about,scorpio,fun
13241,Unknown,Unknown,Unknown
13242,capricorn and it's fun to think about,capricorn,fun
13243,taurus and it's fun to think about,taurus,fun
13244,Unknown,Unknown,Unknown
13245,Unknown,Unknown,Unknown
13246,gemini but it doesn't matter,gemini,no importance
13247,aries,aries,no importance
13248,libra but it doesn't matter,libra,no importance
13249,aquarius,aquarius,no importance
13250,capricorn,capricorn,no importance
13251,aquarius,aquarius,no importance
13252,Unknown,Unknown,Unknown
13253,scorpio and it's fun to think about,scorpio,fun
13254,gemini and it's fun to think about,gemini,fun
13255,pisces but it doesn't matter,pisces,no importance
13256,pisces but it doesn't matter,pisces,no importance
13257,Unknown,Unknown,Unknown
13258,aries and it's fun to think about,aries,fun
13259,libra and it's fun to think about,libra,fun
13260,capricorn,capricorn,no importance
13261,libra and it's fun to think about,libra,fun
13262,pisces,pisces,no importance
13263,leo but it doesn't matter,leo,no importance
13264,virgo and it matters a lot,virgo,importance
13265,libra and it's fun to think about,libra,fun
13266,capricorn,capricorn,no importance
13267,aries,aries,no importance
13268,capricorn and it's fun to think about,capricorn,fun
13269,pisces and it's fun to think about,pisces,fun
13270,Unknown,Unknown,Unknown
13271,libra but it doesn't matter,libra,no importance
13272,aquarius but it doesn't matter,aquarius,no importance
13273,Unknown,Unknown,Unknown
13274,virgo and it matters a lot,virgo,importance
13275,leo and it's fun to think about,leo,fun
13276,sagittarius and it's fun to think about,sagittarius,fun
13277,scorpio,scorpio,no importance
13278,virgo and it's fun to think about,virgo,fun
13279,taurus,taurus,no importance
13280,aries but it doesn't matter,aries,no importance
13281,Unknown,Unknown,Unknown
13282,Unknown,Unknown,Unknown
13283,Unknown,Unknown,Unknown
13284,capricorn but it doesn't matter,capricorn,no importance
13285,gemini and it's fun to think about,gemini,fun
13286,capricorn and it's fun to think about,capricorn,fun
13287,Unknown,Unknown,Unknown
13288,Unknown,Unknown,Unknown
13289,taurus and it's fun to think about,taurus,fun
13290,Unknown,Unknown,Unknown
13291,aquarius but it doesn't matter,aquarius,no importance
13292,cancer and it's fun to think about,cancer,fun
13293,leo and it's fun to think about,leo,fun
13294,cancer and it's fun to think about,cancer,fun
13295,sagittarius,sagittarius,no importance
13296,Unknown,Unknown,Unknown
13297,libra but it doesn't matter,libra,no importance
13298,Unknown,Unknown,Unknown
13299,aquarius but it doesn't matter,aquarius,no importance
13300,taurus and it's fun to think about,taurus,fun
13301,capricorn but it doesn't matter,capricorn,no importance
13302,gemini and it's fun to think about,gemini,fun
13303,sagittarius and it's fun to think about,sagittarius,fun
13304,virgo and it's fun to think about,virgo,fun
13305,aquarius and it's fun to think about,aquarius,fun
13306,pisces and it's fun to think about,pisces,fun
13307,aries and it's fun to think about,aries,fun
13308,cancer,cancer,no importance
13309,sagittarius and it's fun to think about,sagittarius,fun
13310,Unknown,Unknown,Unknown
13311,capricorn and it's fun to think about,capricorn,fun
13312,cancer,cancer,no importance
13313,aries,aries,no importance
13314,capricorn and it's fun to think about,capricorn,fun
13315,scorpio and it's fun to think about,scorpio,fun
13316,taurus,taurus,no importance
13317,cancer,cancer,no importance
13318,leo but it doesn't matter,leo,no importance
13319,aries but it doesn't matter,aries,no importance
13320,aquarius but it doesn't matter,aquarius,no importance
13321,pisces but it doesn't matter,pisces,no importance
13322,Unknown,Unknown,Unknown
13323,gemini but it doesn't matter,gemini,no importance
13324,pisces,pisces,no importance
13325,virgo,virgo,no importance
13326,gemini but it doesn't matter,gemini,no importance
13327,leo,leo,no importance
13328,cancer but it doesn't matter,cancer,no importance
13329,gemini,gemini,no importance
13330,gemini,gemini,no importance
13331,taurus,taurus,no importance
13332,gemini,gemini,no importance
13333,sagittarius and it's fun to think about,sagittarius,fun
13334,leo but it doesn't matter,leo,no importance
13335,Unknown,Unknown,Unknown
13336,cancer and it's fun to think about,cancer,fun
13337,cancer but it doesn't matter,cancer,no importance
13338,Unknown,Unknown,Unknown
13339,aries and it's fun to think about,aries,fun
13340,cancer,cancer,no importance
13341,taurus and it's fun to think about,taurus,fun
13342,aquarius and it's fun to think about,aquarius,fun
13343,aries and it's fun to think about,aries,fun
13344,sagittarius and it's fun to think about,sagittarius,fun
