index,pets,dogs,cats
9564,likes dogs and has cats,like,own
9565,has dogs and likes cats,own,like
9566,likes cats,no importance,like
9567,likes dogs,like,no importance
9568,has dogs and likes cats,own,like
9569,likes dogs and likes cats,like,like
9570,likes dogs,like,no importance
9571,likes dogs and likes cats,like,like
9572,likes cats,no importance,like
9573,likes dogs and likes cats,like,like
9574,has dogs and likes cats,own,like
9575,likes dogs and has cats,like,own
9576,likes dogs and likes cats,like,like
9577,no importance,no importance,no importance
9578,likes dogs and likes cats,like,like
9579,no importance,no importance,no importance
9580,likes dogs and has cats,like,own
9581,no importance,no importance,no importance
9582,has dogs and has cats,own,own
9583,no importance,no importance,no importance
9584,likes cats,no importance,like
9585,likes dogs and likes cats,like,like
9586,likes dogs and dislikes cats,like,like
9587,likes dogs,like,no importance
9588,likes dogs and dislikes cats,like,like
9589,likes dogs and likes cats,like,like
9590,likes dogs and has cats,like,own
9591,no importance,no importance,no importance
9592,no importance,no importance,no importance
9593,likes dogs and likes cats,like,like
9594,likes dogs and likes cats,like,like
9595,no importance,no importance,no importance
9596,likes dogs and likes cats,like,like
9597,no importance,no importance,no importance
9598,no importance,no importance,no importance
9599,has dogs and dislikes cats,own,like
9600,no importance,no importance,no importance
9601,has dogs and has cats,own,own
9602,likes dogs and likes cats,like,like
9603,no importance,no importance,no importance
9604,likes dogs and likes cats,like,like
9605,likes dogs and likes cats,like,like
9606,likes dogs,like,no importance
9607,likes dogs,like,no importance
9608,likes dogs,like,no importance
9609,likes cats,no importance,like
9610,no importance,no importance,no importance
9611,has dogs,own,no importance
9612,likes dogs,like,no importance
9613,dislikes dogs and dislikes cats,like,like
9614,likes cats,no importance,like
9615,likes cats,no importance,like
9616,no importance,no importance,no importance
9617,no importance,no importance,no importance
9618,likes dogs and has cats,like,own
9619,no importance,no importance,no importance
9620,no importance,no importance,no importance
9621,no importance,no importance,no importance
9622,likes dogs,like,no importance
9623,no importance,no importance,no importance
9624,likes dogs,like,no importance
9625,likes dogs and dislikes cats,like,like
9626,no importance,no importance,no importance
9627,has dogs,own,no importance
9628,likes dogs and likes cats,like,like
9629,likes dogs,like,no importance
9630,likes dogs and likes cats,like,like
9631,no importance,no importance,no importance
9632,has dogs,own,no importance
9633,no importance,no importance,no importance
9634,has dogs and likes cats,own,like
9635,no importance,no importance,no importance
9636,no importance,no importance,no importance
9637,no importance,no importance,no importance
9638,likes dogs,like,no importance
9639,likes dogs,like,no importance
9640,likes dogs,like,no importance
9641,no importance,no importance,no importance
9642,no importance,no importance,no importance
9643,likes dogs and dislikes cats,like,like
9644,likes dogs and likes cats,like,like
9645,no importance,no importance,no importance
9646,no importance,no importance,no importance
9647,likes dogs,like,no importance
9648,no importance,no importance,no importance
9649,likes dogs and likes cats,like,like
9650,has dogs,own,no importance
9651,likes dogs and dislikes cats,like,like
9652,no importance,no importance,no importance
9653,no importance,no importance,no importance
9654,no importance,no importance,no importance
9655,has dogs and dislikes cats,own,like
9656,likes dogs and likes cats,like,like
9657,likes dogs and likes cats,like,like
9658,no importance,no importance,no importance
9659,likes dogs and dislikes cats,like,like
9660,no importance,no importance,no importance
9661,likes dogs and likes cats,like,like
9662,likes dogs and likes cats,like,like
9663,no importance,no importance,no importance
9664,has dogs,own,no importance
9665,no importance,no importance,no importance
9666,likes dogs and has cats,like,own
9667,no importance,no importance,no importance
9668,likes dogs and dislikes cats,like,like
9669,likes dogs and likes cats,like,like
9670,no importance,no importance,no importance
9671,no importance,no importance,no importance
9672,no importance,no importance,no importance
9673,likes dogs and likes cats,like,like
9674,has dogs,own,no importance
9675,likes cats,no importance,like
9676,no importance,no importance,no importance
9677,likes dogs and likes cats,like,like
9678,no importance,no importance,no importance
9679,no importance,no importance,no importance
9680,no importance,no importance,no importance
9681,likes dogs and has cats,like,own
9682,has dogs,own,no importance
9683,no importance,no importance,no importance
9684,has dogs,own,no importance
9685,no importance,no importance,no importance
9686,no importance,no importance,no importance
9687,likes dogs and has cats,like,own
9688,likes dogs,like,no importance
9689,has dogs,own,no importance
9690,has dogs,own,no importance
9691,likes dogs and dislikes cats,like,like
9692,no importance,no importance,no importance
9693,has dogs,own,no importance
9694,no importance,no importance,no importance
9695,likes dogs,like,no importance
9696,no importance,no importance,no importance
9697,likes dogs and likes cats,like,like
9698,likes dogs and likes cats,like,like
9699,likes dogs and likes cats,like,like
9700,no importance,no importance,no importance
9701,likes dogs and has cats,like,own
9702,no importance,no importance,no importance
9703,likes dogs,like,no importance
9704,no importance,no importance,no importance
9705,likes dogs and likes cats,like,like
9706,no importance,no importance,no importance
9707,likes dogs,like,no importance
9708,likes dogs and likes cats,like,like
9709,likes dogs and likes cats,like,like
9710,likes dogs and likes cats,like,like
9711,likes dogs and has cats,like,own
9712,likes dogs and dislikes cats,like,like
9713,likes dogs and likes cats,like,like
9714,likes dogs and likes cats,like,like
9715,no importance,no importance,no importance
9716,likes dogs,like,no importance
9717,no importance,no importance,no importance
9718,likes dogs and dislikes cats,like,like
9719,likes dogs,like,no importance
9720,no importance,no importance,no importance
9721,no importance,no importance,no importance
9722,likes dogs and has cats,like,own
9723,likes dogs,like,no importance
9724,no importance,no importance,no importance
9725,likes dogs and likes cats,like,like
9726,has dogs,own,no importance
9727,likes dogs,like,no importance
9728,likes dogs,like,no importance
9729,no importance,no importance,no importance
9730,has dogs and likes cats,own,like
9731,has dogs,own,no importance
9732,likes dogs and dislikes cats,like,like
9733,likes dogs,like,no importance
9734,likes dogs and likes cats,like,like
9735,likes dogs and likes cats,like,like
9736,likes dogs,like,no importance
9737,no importance,no importance,no importance
9738,has dogs,own,no importance
9739,has dogs and has cats,own,own
9740,has dogs,own,no importance
9741,has dogs,own,no importance
9742,no importance,no importance,no importance
9743,likes dogs and likes cats,like,like
9744,no importance,no importance,no importance
9745,likes dogs and likes cats,like,like
9746,likes dogs,like,no importance
9747,no importance,no importance,no importance
9748,likes dogs,like,no importance
9749,has dogs,own,no importance
9750,has dogs,own,no importance
9751,has dogs and likes cats,own,like
9752,likes dogs,like,no importance
9753,no importance,no importance,no importance
9754,has cats,no importance,own
9755,likes dogs and has cats,like,own
9756,likes dogs and likes cats,like,like
9757,likes dogs and likes cats,like,like
9758,no importance,no importance,no importance
9759,no importance,no importance,no importance
9760,no importance,no importance,no importance
9761,likes dogs and likes cats,like,like
9762,likes dogs,like,no importance
9763,likes dogs,like,no importance
9764,no importance,no importance,no importance
9765,no importance,no importance,no importance
9766,no importance,no importance,no importance
9767,likes dogs,like,no importance
9768,no importance,no importance,no importance
9769,has dogs and likes cats,own,like
9770,no importance,no importance,no importance
9771,has dogs,own,no importance
9772,no importance,no importance,no importance
9773,no importance,no importance,no importance
9774,no importance,no importance,no importance
9775,no importance,no importance,no importance
9776,no importance,no importance,no importance
9777,likes dogs and likes cats,like,like
9778,likes dogs,like,no importance
9779,likes dogs and likes cats,like,like
9780,likes dogs and likes cats,like,like
9781,likes dogs,like,no importance
9782,likes dogs,like,no importance
9783,has dogs,own,no importance
9784,likes dogs and dislikes cats,like,like
9785,likes dogs and likes cats,like,like
9786,has dogs and has cats,own,own
9787,no importance,no importance,no importance
9788,likes dogs and dislikes cats,like,like
9789,likes dogs and likes cats,like,like
9790,likes dogs,like,no importance
9791,no importance,no importance,no importance
9792,likes dogs,like,no importance
9793,likes dogs and likes cats,like,like
9794,no importance,no importance,no importance
9795,has dogs,own,no importance
9796,likes dogs,like,no importance
9797,no importance,no importance,no importance
9798,no importance,no importance,no importance
9799,no importance,no importance,no importance
9800,has dogs,own,no importance
9801,likes dogs,like,no importance
9802,no importance,no importance,no importance
9803,likes dogs,like,no importance
9804,likes dogs and likes cats,like,like
9805,has cats,no importance,own
9806,has dogs,own,no importance
9807,has dogs,own,no importance
9808,has dogs,own,no importance
9809,no importance,no importance,no importance
9810,has dogs,own,no importance
9811,no importance,no importance,no importance
9812,likes dogs and likes cats,like,like
9813,has dogs and likes cats,own,like
9814,no importance,no importance,no importance
9815,likes dogs and dislikes cats,like,like
9816,has dogs and likes cats,own,like
9817,has dogs,own,no importance
9818,likes dogs and likes cats,like,like
9819,likes dogs,like,no importance
9820,has dogs and likes cats,own,like
9821,likes dogs,like,no importance
9822,has dogs,own,no importance
9823,no importance,no importance,no importance
9824,no importance,no importance,no importance
9825,no importance,no importance,no importance
9826,no importance,no importance,no importance
9827,likes dogs and likes cats,like,like
9828,likes dogs and likes cats,like,like
9829,no importance,no importance,no importance
9830,likes dogs and has cats,like,own
9831,likes dogs and has cats,like,own
9832,no importance,no importance,no importance
9833,no importance,no importance,no importance
9834,has dogs,own,no importance
9835,no importance,no importance,no importance
9836,likes dogs,like,no importance
9837,likes dogs,like,no importance
9838,no importance,no importance,no importance
9839,no importance,no importance,no importance
9840,likes dogs and likes cats,like,like
9841,has dogs,own,no importance
9842,likes dogs and likes cats,like,like
9843,likes dogs and dislikes cats,like,like
9844,likes dogs,like,no importance
9845,has dogs,own,no importance
9846,no importance,no importance,no importance
9847,no importance,no importance,no importance
9848,no importance,no importance,no importance
9849,likes dogs and has cats,like,own
9850,likes dogs and likes cats,like,like
9851,likes dogs and has cats,like,own
9852,likes dogs and likes cats,like,like
9853,no importance,no importance,no importance
9854,likes dogs and likes cats,like,like
9855,likes dogs and likes cats,like,like
9856,likes dogs,like,no importance
9857,likes dogs,like,no importance
9858,no importance,no importance,no importance
9859,likes dogs and has cats,like,own
9860,likes dogs and likes cats,like,like
9861,likes dogs and likes cats,like,like
9862,has cats,no importance,own
9863,likes dogs and likes cats,like,like
9864,likes dogs,like,no importance
9865,has dogs,own,no importance
9866,likes dogs and likes cats,like,like
9867,likes dogs and likes cats,like,like
9868,likes dogs,like,no importance
9869,no importance,no importance,no importance
9870,likes dogs and likes cats,like,like
9871,no importance,no importance,no importance
9872,has dogs,own,no importance
9873,likes dogs and dislikes cats,like,like
9874,likes dogs and likes cats,like,like
9875,likes dogs and dislikes cats,like,like
9876,no importance,no importance,no importance
9877,no importance,no importance,no importance
9878,has dogs,own,no importance
9879,no importance,no importance,no importance
9880,no importance,no importance,no importance
9881,no importance,no importance,no importance
9882,no importance,no importance,no importance
9883,likes cats,no importance,like
9884,has dogs,own,no importance
9885,no importance,no importance,no importance
9886,likes dogs and likes cats,like,like
9887,likes dogs,like,no importance
9888,has dogs and dislikes cats,own,like
9889,no importance,no importance,no importance
9890,likes dogs and likes cats,like,like
9891,dislikes dogs and dislikes cats,like,like
9892,likes dogs,like,no importance
9893,has dogs,own,no importance
9894,no importance,no importance,no importance
9895,has dogs,own,no importance
9896,no importance,no importance,no importance
9897,likes dogs and likes cats,like,like
9898,likes dogs and has cats,like,own
9899,no importance,no importance,no importance
9900,has dogs and has cats,own,own
9901,has dogs and likes cats,own,like
9902,no importance,no importance,no importance
9903,likes dogs and likes cats,like,like
9904,likes dogs and likes cats,like,like
9905,no importance,no importance,no importance
9906,no importance,no importance,no importance
9907,likes dogs and dislikes cats,like,like
9908,has dogs,own,no importance
9909,has cats,no importance,own
9910,no importance,no importance,no importance
9911,likes dogs and likes cats,like,like
9912,likes dogs,like,no importance
9913,no importance,no importance,no importance
9914,likes dogs and has cats,like,own
9915,has dogs,own,no importance
9916,likes dogs and has cats,like,own
9917,likes dogs and likes cats,like,like
9918,likes dogs,like,no importance
9919,no importance,no importance,no importance
9920,likes dogs and has cats,like,own
9921,no importance,no importance,no importance
9922,likes dogs and likes cats,like,like
9923,likes dogs,like,no importance
9924,no importance,no importance,no importance
9925,dislikes dogs and has cats,like,own
9926,dislikes dogs and dislikes cats,like,like
9927,likes dogs and likes cats,like,like
9928,likes dogs,like,no importance
9929,likes dogs and likes cats,like,like
9930,likes dogs,like,no importance
9931,likes dogs,like,no importance
9932,no importance,no importance,no importance
9933,no importance,no importance,no importance
9934,has dogs,own,no importance
9935,likes dogs and likes cats,like,like
9936,likes dogs and likes cats,like,like
9937,no importance,no importance,no importance
9938,no importance,no importance,no importance
9939,likes dogs,like,no importance
9940,likes cats,no importance,like
9941,no importance,no importance,no importance
9942,likes dogs and likes cats,like,like
9943,likes dogs and likes cats,like,like
9944,likes dogs and likes cats,like,like
9945,likes dogs and likes cats,like,like
9946,likes dogs and likes cats,like,like
9947,likes dogs and likes cats,like,like
9948,likes dogs and likes cats,like,like
9949,no importance,no importance,no importance
9950,likes dogs and likes cats,like,like
9951,no importance,no importance,no importance
9952,likes dogs,like,no importance
9953,likes dogs and dislikes cats,like,like
9954,likes dogs and likes cats,like,like
9955,no importance,no importance,no importance
9956,likes dogs,like,no importance
9957,no importance,no importance,no importance
9958,likes dogs and likes cats,like,like
9959,no importance,no importance,no importance
9960,has dogs,own,no importance
9961,no importance,no importance,no importance
9962,no importance,no importance,no importance
9963,no importance,no importance,no importance
9964,likes dogs,like,no importance
9965,likes dogs and likes cats,like,like
9966,likes dogs and likes cats,like,like
9967,no importance,no importance,no importance
9968,no importance,no importance,no importance
9969,likes dogs and likes cats,like,like
9970,likes dogs and likes cats,like,like
9971,likes dogs,like,no importance
9972,likes dogs and has cats,like,own
9973,likes dogs and dislikes cats,like,like
9974,likes cats,no importance,like
9975,no importance,no importance,no importance
9976,likes dogs and dislikes cats,like,like
9977,no importance,no importance,no importance
9978,likes dogs and likes cats,like,like
9979,has dogs,own,no importance
9980,likes dogs and likes cats,like,like
9981,no importance,no importance,no importance
9982,has dogs and likes cats,own,like
9983,likes dogs and likes cats,like,like
9984,no importance,no importance,no importance
9985,likes dogs and likes cats,like,like
9986,no importance,no importance,no importance
9987,likes dogs and likes cats,like,like
9988,likes dogs,like,no importance
9989,no importance,no importance,no importance
9990,likes dogs,like,no importance
9991,no importance,no importance,no importance
9992,likes dogs,like,no importance
9993,no importance,no importance,no importance
9994,no importance,no importance,no importance
9995,likes dogs and likes cats,like,like
9996,no importance,no importance,no importance
9997,has dogs and has cats,own,own
9998,likes dogs and likes cats,like,like
9999,no importance,no importance,no importance
10000,likes dogs and has cats,like,own
10001,no importance,no importance,no importance
10002,likes dogs and likes cats,like,like
10003,likes dogs and dislikes cats,like,like
10004,likes dogs and likes cats,like,like
10005,likes dogs and likes cats,like,like
10006,has dogs,own,no importance
10007,likes dogs and likes cats,like,like
10008,likes dogs and has cats,like,own
10009,no importance,no importance,no importance
10010,likes cats,no importance,like
10011,likes dogs and likes cats,like,like
10012,likes dogs and likes cats,like,like
10013,no importance,no importance,no importance
10014,no importance,no importance,no importance
10015,likes dogs and likes cats,like,like
10016,likes dogs and dislikes cats,like,like
10017,likes dogs and has cats,like,own
10018,likes dogs and dislikes cats,like,like
10019,no importance,no importance,no importance
10020,likes dogs and likes cats,like,like
10021,likes dogs,like,no importance
10022,likes cats,no importance,like
10023,no importance,no importance,no importance
10024,likes dogs and likes cats,like,like
10025,has dogs and dislikes cats,own,like
10026,likes dogs and likes cats,like,like
10027,has dogs and likes cats,own,like
10028,likes dogs and dislikes cats,like,like
10029,likes dogs and likes cats,like,like
10030,dislikes dogs,like,no importance
10031,likes dogs and likes cats,like,like
10032,dislikes dogs,like,no importance
10033,likes dogs and has cats,like,own
10034,has dogs and likes cats,own,like
10035,likes dogs and likes cats,like,like
10036,no importance,no importance,no importance
10037,has dogs and has cats,own,own
10038,likes dogs and likes cats,like,like
10039,no importance,no importance,no importance
10040,likes dogs and likes cats,like,like
10041,no importance,no importance,no importance
10042,likes dogs and likes cats,like,like
10043,has dogs,own,no importance
10044,has dogs,own,no importance
10045,no importance,no importance,no importance
10046,likes dogs and likes cats,like,like
10047,likes dogs and likes cats,like,like
10048,no importance,no importance,no importance
10049,likes dogs and likes cats,like,like
10050,likes dogs and likes cats,like,like
10051,likes dogs and likes cats,like,like
10052,likes dogs and likes cats,like,like
10053,likes dogs and has cats,like,own
10054,has dogs and likes cats,own,like
10055,likes dogs,like,no importance
10056,likes cats,no importance,like
10057,likes dogs,like,no importance
10058,likes dogs and has cats,like,own
10059,likes dogs and likes cats,like,like
10060,no importance,no importance,no importance
10061,likes dogs,like,no importance
10062,no importance,no importance,no importance
10063,no importance,no importance,no importance
10064,dislikes dogs and dislikes cats,like,like
10065,likes dogs,like,no importance
10066,no importance,no importance,no importance
10067,likes dogs and likes cats,like,like
10068,likes dogs,like,no importance
10069,has dogs,own,no importance
10070,likes dogs and likes cats,like,like
10071,no importance,no importance,no importance
10072,has dogs,own,no importance
10073,likes dogs and likes cats,like,like
10074,has dogs,own,no importance
10075,dislikes dogs and dislikes cats,like,like
10076,no importance,no importance,no importance
10077,no importance,no importance,no importance
10078,has dogs and likes cats,own,like
10079,likes dogs and has cats,like,own
10080,no importance,no importance,no importance
10081,has dogs,own,no importance
10082,likes dogs and has cats,like,own
10083,no importance,no importance,no importance
10084,likes dogs and has cats,like,own
10085,no importance,no importance,no importance
10086,no importance,no importance,no importance
10087,no importance,no importance,no importance
10088,no importance,no importance,no importance
10089,has dogs and has cats,own,own
10090,likes dogs,like,no importance
10091,no importance,no importance,no importance
10092,has dogs and has cats,own,own
10093,no importance,no importance,no importance
10094,no importance,no importance,no importance
10095,likes dogs,like,no importance
10096,likes dogs and likes cats,like,like
10097,has dogs,own,no importance
10098,has dogs and likes cats,own,like
10099,likes dogs and has cats,like,own
10100,likes dogs and likes cats,like,like
10101,has dogs,own,no importance
10102,no importance,no importance,no importance
10103,no importance,no importance,no importance
10104,likes dogs,like,no importance
10105,no importance,no importance,no importance
10106,has dogs,own,no importance
10107,no importance,no importance,no importance
10108,has dogs and likes cats,own,like
10109,no importance,no importance,no importance
10110,has dogs,own,no importance
10111,no importance,no importance,no importance
10112,likes dogs and likes cats,like,like
10113,has dogs,own,no importance
10114,likes dogs and likes cats,like,like
10115,likes dogs and likes cats,like,like
10116,no importance,no importance,no importance
10117,likes dogs,like,no importance
10118,likes dogs,like,no importance
10119,likes dogs and likes cats,like,like
10120,no importance,no importance,no importance
10121,likes dogs and likes cats,like,like
10122,no importance,no importance,no importance
10123,likes dogs and likes cats,like,like
10124,no importance,no importance,no importance
10125,likes dogs,like,no importance
10126,no importance,no importance,no importance
10127,likes dogs and likes cats,like,like
10128,likes dogs,like,no importance
10129,likes dogs and likes cats,like,like
10130,has dogs and has cats,own,own
10131,likes dogs and likes cats,like,like
10132,likes dogs and dislikes cats,like,like
10133,likes dogs and likes cats,like,like
10134,likes dogs and has cats,like,own
10135,no importance,no importance,no importance
10136,likes dogs and has cats,like,own
10137,likes dogs,like,no importance
10138,likes dogs and likes cats,like,like
10139,no importance,no importance,no importance
10140,no importance,no importance,no importance
10141,no importance,no importance,no importance
10142,likes dogs and likes cats,like,like
10143,likes dogs,like,no importance
10144,likes dogs and dislikes cats,like,like
10145,has dogs,own,no importance
10146,likes dogs and has cats,like,own
10147,likes dogs and has cats,like,own
10148,no importance,no importance,no importance
10149,likes dogs and has cats,like,own
10150,has dogs,own,no importance
10151,likes dogs and likes cats,like,like
10152,has dogs and likes cats,own,like
10153,likes dogs and likes cats,like,like
10154,likes dogs,like,no importance
10155,likes dogs and dislikes cats,like,like
10156,likes dogs and likes cats,like,like
10157,no importance,no importance,no importance
10158,likes dogs and likes cats,like,like
10159,no importance,no importance,no importance
10160,likes dogs and likes cats,like,like
10161,no importance,no importance,no importance
10162,likes dogs and likes cats,like,like
10163,has dogs and has cats,own,own
10164,likes dogs and likes cats,like,like
10165,likes dogs and likes cats,like,like
10166,no importance,no importance,no importance
10167,no importance,no importance,no importance
10168,likes dogs and has cats,like,own
10169,no importance,no importance,no importance
10170,no importance,no importance,no importance
10171,likes dogs,like,no importance
10172,has cats,no importance,own
10173,likes dogs and likes cats,like,like
10174,has dogs and has cats,own,own
10175,likes dogs and likes cats,like,like
10176,no importance,no importance,no importance
10177,no importance,no importance,no importance
10178,likes dogs,like,no importance
10179,has dogs,own,no importance
10180,no importance,no importance,no importance
10181,no importance,no importance,no importance
10182,likes dogs,like,no importance
10183,likes dogs,like,no importance
10184,has dogs,own,no importance
10185,no importance,no importance,no importance
10186,has dogs,own,no importance
10187,no importance,no importance,no importance
10188,likes dogs,like,no importance
10189,likes dogs and likes cats,like,like
10190,likes dogs and likes cats,like,like
10191,likes dogs and has cats,like,own
10192,likes dogs and likes cats,like,like
10193,likes dogs and has cats,like,own
10194,likes dogs and has cats,like,own
10195,no importance,no importance,no importance
10196,has dogs and likes cats,own,like
10197,has dogs and likes cats,own,like
10198,likes dogs and likes cats,like,like
10199,likes dogs and likes cats,like,like
10200,no importance,no importance,no importance
10201,no importance,no importance,no importance
10202,no importance,no importance,no importance
10203,has cats,no importance,own
10204,likes dogs and has cats,like,own
10205,likes dogs and likes cats,like,like
10206,likes dogs and has cats,like,own
10207,likes dogs and has cats,like,own
10208,likes dogs and likes cats,like,like
10209,likes dogs and likes cats,like,like
10210,likes dogs and likes cats,like,like
10211,likes dogs and likes cats,like,like
10212,no importance,no importance,no importance
10213,likes dogs and likes cats,like,like
10214,dislikes dogs and likes cats,like,like
10215,has dogs,own,no importance
10216,likes dogs and has cats,like,own
10217,likes dogs and dislikes cats,like,like
10218,likes dogs and dislikes cats,like,like
10219,likes dogs,like,no importance
10220,likes dogs,like,no importance
10221,no importance,no importance,no importance
10222,likes dogs and likes cats,like,like
10223,likes dogs,like,no importance
10224,likes dogs,like,no importance
10225,has cats,no importance,own
10226,has dogs and dislikes cats,own,like
10227,likes dogs and likes cats,like,like
10228,likes dogs and likes cats,like,like
10229,likes dogs and likes cats,like,like
10230,likes dogs,like,no importance
10231,likes dogs,like,no importance
10232,no importance,no importance,no importance
10233,has dogs and likes cats,own,like
10234,likes dogs and likes cats,like,like
10235,likes dogs and likes cats,like,like
10236,no importance,no importance,no importance
10237,has dogs,own,no importance
10238,likes dogs,like,no importance
10239,likes dogs and likes cats,like,like
10240,no importance,no importance,no importance
10241,has dogs and likes cats,own,like
10242,likes dogs and has cats,like,own
10243,likes dogs and likes cats,like,like
10244,no importance,no importance,no importance
10245,has dogs,own,no importance
10246,no importance,no importance,no importance
10247,likes dogs and likes cats,like,like
10248,no importance,no importance,no importance
10249,has dogs,own,no importance
10250,likes dogs and has cats,like,own
10251,likes dogs,like,no importance
10252,likes dogs and likes cats,like,like
10253,no importance,no importance,no importance
10254,has dogs and dislikes cats,own,like
10255,likes dogs and likes cats,like,like
10256,likes cats,no importance,like
10257,no importance,no importance,no importance
10258,has dogs and likes cats,own,like
10259,likes dogs and has cats,like,own
10260,no importance,no importance,no importance
10261,no importance,no importance,no importance
10262,no importance,no importance,no importance
10263,has dogs,own,no importance
10264,no importance,no importance,no importance
10265,no importance,no importance,no importance
10266,no importance,no importance,no importance
10267,likes dogs and likes cats,like,like
10268,likes dogs and has cats,like,own
10269,likes dogs and has cats,like,own
10270,likes dogs and likes cats,like,like
10271,likes dogs,like,no importance
10272,no importance,no importance,no importance
10273,likes dogs and has cats,like,own
10274,likes dogs and likes cats,like,like
10275,likes dogs and likes cats,like,like
10276,no importance,no importance,no importance
10277,has dogs,own,no importance
10278,likes dogs and has cats,like,own
10279,has dogs and likes cats,own,like
10280,has dogs and likes cats,own,like
10281,likes dogs,like,no importance
10282,likes dogs and likes cats,like,like
10283,likes dogs,like,no importance
10284,likes dogs,like,no importance
10285,no importance,no importance,no importance
10286,has dogs,own,no importance
10287,no importance,no importance,no importance
10288,likes dogs and likes cats,like,like
10289,likes dogs and likes cats,like,like
10290,likes dogs and has cats,like,own
10291,likes dogs,like,no importance
10292,likes dogs and has cats,like,own
10293,likes dogs and likes cats,like,like
10294,likes dogs and likes cats,like,like
10295,likes dogs,like,no importance
10296,likes dogs and likes cats,like,like
10297,likes dogs and likes cats,like,like
10298,has dogs and likes cats,own,like
10299,no importance,no importance,no importance
10300,has dogs,own,no importance
10301,likes dogs and dislikes cats,like,like
10302,no importance,no importance,no importance
10303,likes dogs and likes cats,like,like
10304,has dogs and has cats,own,own
10305,has cats,no importance,own
10306,has dogs,own,no importance
10307,likes dogs and likes cats,like,like
10308,likes dogs and likes cats,like,like
10309,no importance,no importance,no importance
10310,has dogs and likes cats,own,like
10311,likes dogs,like,no importance
10312,likes dogs and has cats,like,own
10313,has dogs,own,no importance
10314,has cats,no importance,own
10315,likes dogs and likes cats,like,like
10316,likes dogs and has cats,like,own
10317,likes dogs and likes cats,like,like
10318,has dogs and dislikes cats,own,like
10319,likes dogs and has cats,like,own
10320,likes dogs,like,no importance
10321,likes dogs and likes cats,like,like
10322,no importance,no importance,no importance
10323,no importance,no importance,no importance
10324,no importance,no importance,no importance
10325,likes dogs and likes cats,like,like
10326,likes dogs and likes cats,like,like
10327,likes dogs and likes cats,like,like
10328,likes dogs and likes cats,like,like
10329,likes dogs and likes cats,like,like
10330,likes dogs and likes cats,like,like
10331,likes dogs and has cats,like,own
10332,likes dogs,like,no importance
10333,no importance,no importance,no importance
10334,likes dogs and has cats,like,own
10335,likes dogs,like,no importance
10336,no importance,no importance,no importance
10337,likes dogs,like,no importance
10338,no importance,no importance,no importance
10339,has dogs,own,no importance
10340,has dogs,own,no importance
10341,has dogs,own,no importance
10342,likes dogs,like,no importance
10343,no importance,no importance,no importance
10344,dislikes dogs and likes cats,like,like
10345,likes dogs,like,no importance
10346,no importance,no importance,no importance
10347,has dogs and likes cats,own,like
10348,likes dogs and has cats,like,own
10349,no importance,no importance,no importance
10350,likes dogs and likes cats,like,like
10351,no importance,no importance,no importance
10352,likes dogs and dislikes cats,like,like
10353,likes dogs,like,no importance
10354,likes dogs and likes cats,like,like
10355,no importance,no importance,no importance
10356,no importance,no importance,no importance
10357,no importance,no importance,no importance
10358,no importance,no importance,no importance
10359,no importance,no importance,no importance
10360,likes dogs and likes cats,like,like
10361,likes dogs and has cats,like,own
10362,likes dogs and likes cats,like,like
10363,likes dogs,like,no importance
10364,has dogs,own,no importance
10365,no importance,no importance,no importance
10366,likes dogs and likes cats,like,like
10367,dislikes dogs and dislikes cats,like,like
10368,likes dogs and likes cats,like,like
10369,no importance,no importance,no importance
10370,has dogs and likes cats,own,like
10371,no importance,no importance,no importance
10372,no importance,no importance,no importance
10373,no importance,no importance,no importance
10374,has cats,no importance,own
10375,likes dogs and likes cats,like,like
10376,no importance,no importance,no importance
10377,likes dogs and likes cats,like,like
10378,likes dogs and likes cats,like,like
10379,has dogs and likes cats,own,like
10380,no importance,no importance,no importance
10381,no importance,no importance,no importance
10382,likes dogs,like,no importance
10383,has dogs,own,no importance
10384,likes dogs and likes cats,like,like
10385,likes dogs and likes cats,like,like
10386,no importance,no importance,no importance
10387,has dogs,own,no importance
10388,has dogs and likes cats,own,like
10389,likes dogs and dislikes cats,like,like
10390,likes dogs and likes cats,like,like
10391,has dogs and has cats,own,own
10392,likes dogs,like,no importance
10393,no importance,no importance,no importance
10394,no importance,no importance,no importance
10395,likes dogs,like,no importance
10396,has dogs and likes cats,own,like
10397,likes dogs and has cats,like,own
10398,no importance,no importance,no importance
10399,likes dogs and has cats,like,own
10400,has dogs and has cats,own,own
10401,no importance,no importance,no importance
10402,no importance,no importance,no importance
10403,has dogs and likes cats,own,like
10404,no importance,no importance,no importance
10405,no importance,no importance,no importance
10406,has cats,no importance,own
10407,no importance,no importance,no importance
10408,has dogs,own,no importance
10409,has cats,no importance,own
10410,likes dogs and likes cats,like,like
10411,no importance,no importance,no importance
10412,no importance,no importance,no importance
10413,likes dogs and likes cats,like,like
10414,has dogs and likes cats,own,like
10415,no importance,no importance,no importance
10416,no importance,no importance,no importance
10417,likes dogs and likes cats,like,like
10418,has dogs,own,no importance
10419,likes dogs,like,no importance
10420,no importance,no importance,no importance
10421,no importance,no importance,no importance
10422,likes dogs and likes cats,like,like
10423,has dogs,own,no importance
10424,no importance,no importance,no importance
10425,no importance,no importance,no importance
10426,likes dogs and likes cats,like,like
10427,no importance,no importance,no importance
10428,likes dogs and has cats,like,own
10429,likes dogs and likes cats,like,like
10430,no importance,no importance,no importance
