index,speaks,fluent,good
2534,"english (fluently), spanish (fluently)","english, spanish",
2535,english (fluently),english,
2536,english (fluently),english,
2537,english (fluently),english,
2538,"english (fluently), russian (okay)",english,russian
2539,"english (fluently), sign language",english,sign language
2540,"english (fluently), english (fluently)",english,
2541,english (fluently),english,
2542,"english (fluently), spanish (fluently)","english, spanish",
2543,"english (fluently), spanish (fluently)","english, spanish",
2544,english (fluently),english,
2545,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
2546,english (okay),english,english
2547,english (fluently),english,
2548,"english (fluently), spanish (okay), french (fluently)","english, french",spanish
2549,english (fluently),english,
2550,"english (fluently), german, russian, greek, bulgarian",english,"german, russian, greek, bulgarian"
2551,english (fluently),english,
2552,english (fluently),english,
2553,english (fluently),english,
2554,english (fluently),english,
2555,english (fluently),english,
2556,english (fluently),english,
2557,"english (fluently), spanish (okay)",english,spanish
2558,"english (fluently), french",english,french
2559,english (fluently),english,
2560,english (fluently),english,
2561,english (fluently),english,
2562,english (fluently),english,
2563,"english (fluently), french (okay)",english,french
2564,"english (fluently), french (okay)",english,french
2565,english (fluently),english,
2566,"english (okay), russian (fluently)",russian,english
2567,english (fluently),english,
2568,english (fluently),english,
2569,english (fluently),english,
2570,english (fluently),english,
2571,english (fluently),english,
2572,english (fluently),english,
2573,"english (fluently), spanish (okay), hebrew (okay)",english,"spanish, hebrew"
2574,chinese (okay),english,chinese
2575,english (fluently),english,
2576,english (fluently),english,
2577,english (fluently),english,
2578,"english (fluently), arabic",english,arabic
2579,english (fluently),english,
2580,english (fluently),english,
2581,english (fluently),english,
2582,"english (fluently), chinese (fluently)","english, chinese",
2583,"english (fluently), french (fluently), arabic (fluently)","english, french, arabic",
2584,"english (fluently), tagalog (fluently)","english, tagalog",
2585,english (fluently),english,
2586,english (fluently),english,
2587,"english (fluently), spanish (fluently)","english, spanish",
2588,"english (fluently), cebuano (okay)",english,cebuano
2589,english (fluently),english,
2590,english (fluently),english,
2591,"english (fluently), spanish (fluently)","english, spanish",
2592,"english (fluently), french",english,french
2593,english (fluently),english,
2594,english (fluently),english,
2595,english (fluently),english,
2596,"english (fluently), chinese",english,chinese
2597,english (fluently),english,
2598,english (fluently),english,
2599,english (fluently),english,
2600,english (fluently),english,
2601,english (fluently),english,
2602,"english (fluently), french (okay), hawaiian (fluently)","english, hawaiian",french
2603,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
2604,english (fluently),english,
2605,"english (fluently), chinese (okay)",english,chinese
2606,english (fluently),english,
2607,english (fluently),english,
2608,,english,
2609,english (fluently),english,
2610,english (fluently),english,
2611,english (fluently),english,
2612,"english (fluently), spanish (okay)",english,spanish
2613,english (fluently),english,
2614,"english (fluently), spanish (okay), other (okay)",english,spanish
2615,"english (fluently), chinese (okay)",english,chinese
2616,english (fluently),english,
2617,english (fluently),english,
2618,english (fluently),english,
2619,english (fluently),english,
2620,english (fluently),english,
2621,"english (okay), tamil (fluently), hindi (fluently), malay (okay)","tamil, hindi","english, malay"
2622,english (fluently),english,
2623,"english (fluently), chinese (okay)",english,chinese
2624,"english (fluently), chinese",english,chinese
2625,english (fluently),english,
2626,"english (fluently), spanish (okay), other",english,spanish
2627,"english (fluently), german (okay)",english,german
2628,"english (fluently), chinese (okay)",english,chinese
2629,english (fluently),english,
2630,english (fluently),english,
2631,english (fluently),english,
2632,english (fluently),english,
2633,english (fluently),english,
2634,english (fluently),english,
2635,"english (fluently), russian",english,russian
2636,"english (fluently), spanish (fluently)","english, spanish",
2637,"english (fluently), french (okay)",english,french
2638,english (fluently),english,
2639,english (fluently),english,
2640,english (fluently),english,
2641,english (fluently),english,
2642,,english,
2643,english (fluently),english,
2644,english (fluently),english,
2645,english (fluently),english,
2646,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
2647,"english (fluently), spanish (fluently)","english, spanish",
2648,english (fluently),english,
2649,english (fluently),english,
2650,english (fluently),english,
2651,english (fluently),english,
2652,"english (fluently), spanish (okay)",english,spanish
2653,"english (fluently), spanish (fluently)","english, spanish",
2654,english (fluently),english,
2655,english (fluently),english,
2656,english (fluently),english,
2657,english (fluently),english,
2658,english (fluently),english,
2659,"english (fluently), french (okay)",english,french
2660,english (fluently),english,
2661,"english (fluently), spanish (okay)",english,spanish
2662,"english (fluently), french (okay), spanish (okay), italian (okay)",english,"french, spanish, italian"
2663,english (fluently),english,
2664,english (fluently),english,
2665,english (fluently),english,
2666,"english (fluently), french (okay)",english,french
2667,english (fluently),english,
2668,"english (fluently), spanish (okay)",english,spanish
2669,english (fluently),english,
2670,english (fluently),english,
2671,english (fluently),english,
2672,"english (fluently), french (okay)",english,french
2673,"english (fluently), korean (okay)",english,korean
2674,english (fluently),english,
2675,"english (fluently), italian (fluently), russian (fluently), hungarian (fluently)","english, italian, russian, hungarian",
2676,english (fluently),english,
2677,"english (fluently), hawaiian",english,hawaiian
2678,english (fluently),english,
2679,english (fluently),english,
2680,english (fluently),english,
2681,english (fluently),english,
2682,english (fluently),english,
2683,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
2684,"english (fluently), spanish (okay)",english,spanish
2685,english (fluently),english,
2686,"english (fluently), portuguese (fluently), spanish (okay)","english, portuguese",spanish
2687,english (fluently),english,
2688,"english (fluently), chinese (okay)",english,chinese
2689,english (fluently),english,
2690,english (fluently),english,
2691,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
2692,english (fluently),english,
2693,"english (fluently), russian (fluently)","english, russian",
2694,"english (fluently), spanish (okay)",english,spanish
2695,english (fluently),english,
2696,english (fluently),english,
2697,english (fluently),english,
2698,"english (fluently), spanish (okay)",english,spanish
2699,"english (fluently), spanish (okay)",english,spanish
2700,"english (fluently), spanish",english,spanish
2701,english (fluently),english,
2702,english (fluently),english,
2703,"english (fluently), romanian (fluently), russian (fluently), spanish (okay), german (okay)","english, romanian, russian","spanish, german"
2704,english (fluently),english,
2705,english (fluently),english,
2706,english (fluently),english,
2707,english (okay),english,english
2708,english (fluently),english,
2709,english (fluently),english,
2710,english (fluently),english,
2711,english (fluently),english,
2712,english (fluently),english,
2713,english (fluently),english,
2714,"english (fluently), spanish (okay)",english,spanish
2715,"english (fluently), chinese (okay)",english,chinese
2716,english (fluently),english,
2717,english (fluently),english,
2718,english (fluently),english,
2719,english (fluently),english,
2720,english (fluently),english,
2721,english (fluently),english,
2722,"english (fluently), portuguese, spanish, french, swedish",english,"portuguese, spanish, french, swedish"
2723,english (okay),english,english
2724,"english (fluently), chinese (fluently), hawaiian (okay), japanese (okay)","english, chinese","hawaiian, japanese"
2725,english (fluently),english,
2726,english (fluently),english,
2727,"english (fluently), french, greek",english,"french, greek"
2728,english (fluently),english,
2729,english (fluently),english,
2730,,english,
2731,"english (fluently), chinese (okay)",english,chinese
2732,"english (fluently), spanish (okay)",english,spanish
2733,"english (fluently), c++",english,c++
2734,english (fluently),english,
2735,"english (fluently), japanese (okay)",english,japanese
2736,english (fluently),english,
2737,"english (fluently), chinese (fluently)","english, chinese",
2738,english (fluently),english,
2739,english (fluently),english,
2740,"english (fluently), italian (okay)",english,italian
2741,"english (fluently), japanese, other",english,japanese
2742,"english (fluently), spanish (okay)",english,spanish
2743,english (fluently),english,
2744,english (fluently),english,
2745,english (fluently),english,
2746,english (fluently),english,
2747,english (fluently),english,
2748,"english (fluently), english (fluently), french (okay), spanish (fluently)","english, spanish",french
2749,english (fluently),english,
2750,english (fluently),english,
2751,english (fluently),english,
2752,"english (fluently), chinese (okay), spanish (okay), japanese (okay), other (okay)",english,"chinese, spanish, japanese"
2753,english (fluently),english,
2754,"english (fluently), hindi (fluently), german (okay)","english, hindi",german
2755,"english (fluently), hebrew (okay)",english,hebrew
2756,"english (fluently), swedish (fluently)","english, swedish",
2757,english (fluently),english,
2758,"english (fluently), spanish, italian (okay)",english,"spanish, italian"
2759,"english (fluently), hebrew (okay)",english,hebrew
2760,"english (fluently), spanish (fluently)","english, spanish",
2761,english (fluently),english,
2762,"english (fluently), spanish (fluently)","english, spanish",
2763,english (fluently),english,
2764,english (fluently),english,
2765,english (fluently),english,
2766,english (fluently),english,
2767,english (fluently),english,
2768,"english (fluently), french (fluently)","english, french",
2769,"english (fluently), french, chinese, latin",english,"french, chinese, latin"
2770,english (fluently),english,
2771,english (fluently),english,
2772,"english (fluently), spanish (okay)",english,spanish
2773,english (fluently),english,
2774,english (fluently),english,
2775,english (fluently),english,
2776,english (fluently),english,
2777,"english (fluently), italian (okay)",english,italian
2778,"english (fluently), chinese, spanish",english,"chinese, spanish"
2779,english (fluently),english,
2780,"english (fluently), japanese (okay)",english,japanese
2781,english (fluently),english,
2782,english (fluently),english,
2783,english (fluently),english,
2784,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
2785,"english (fluently), spanish (okay)",english,spanish
2786,"english (fluently), spanish (fluently)","english, spanish",
2787,"english (fluently), chinese (okay)",english,chinese
2788,english (fluently),english,
2789,english (fluently),english,
2790,"english (fluently), french (okay)",english,french
2791,"english (fluently), spanish (okay)",english,spanish
2792,english (fluently),english,
2793,english (fluently),english,
2794,english (fluently),english,
2795,english (fluently),english,
2796,"english (fluently), spanish (okay)",english,spanish
2797,"english (fluently), german (okay)",english,german
2798,english (fluently),english,
2799,"english (fluently), spanish (okay)",english,spanish
2800,english (fluently),english,
2801,"english (fluently), vietnamese (fluently)","english, vietnamese",
2802,english (fluently),english,
2803,"english (fluently), russian (fluently), french (okay)","english, russian",french
2804,"english (fluently), spanish (fluently), portuguese (okay)","english, spanish",portuguese
2805,"english (fluently), farsi (fluently), other (okay)","english, farsi",
2806,"english (fluently), other (fluently), hindi (okay)",english,hindi
2807,english (fluently),english,
2808,english (fluently),english,
2809,english (fluently),english,
2810,"english (fluently), portuguese",english,portuguese
2811,"english (fluently), chinese (okay)",english,chinese
2812,"english (fluently), russian (fluently)","english, russian",
2813,english (fluently),english,
2814,english (fluently),english,
2815,"english (fluently), french (fluently), arabic (fluently), spanish (okay)","english, french, arabic",spanish
2816,english (fluently),english,
2817,english (fluently),english,
2818,english (fluently),english,
2819,"english (fluently), c++ (fluently)","english, c++",
2820,english (fluently),english,
2821,"english (fluently), french",english,french
2822,"english (fluently), hindi (okay)",english,hindi
2823,english (fluently),english,
2824,"english (fluently), spanish (fluently), portuguese (fluently)","english, spanish, portuguese",
2825,english (fluently),english,
2826,english (fluently),english,
2827,"english (okay), italian (fluently), spanish (fluently), portuguese (okay), french (okay)","italian, spanish","english, portuguese, french"
2828,english (fluently),english,
2829,english (fluently),english,
2830,"english (fluently), spanish (okay)",english,spanish
2831,english (fluently),english,
2832,"english (fluently), swedish (fluently), turkish (fluently)","english, swedish, turkish",
2833,"english (fluently), russian (fluently)","english, russian",
2834,"english (fluently), spanish (fluently)","english, spanish",
2835,english (fluently),english,
2836,english (fluently),english,
2837,english (fluently),english,
2838,"english (fluently), spanish (okay)",english,spanish
2839,english (fluently),english,
2840,english (fluently),english,
2841,english (fluently),english,
2842,"english (fluently), spanish",english,spanish
2843,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
2844,"english (fluently), hebrew (fluently)","english, hebrew",
2845,english (fluently),english,
2846,"english (fluently), farsi (fluently), spanish (okay)","english, farsi",spanish
2847,english (fluently),english,
2848,english (fluently),english,
2849,english (fluently),english,
2850,english (fluently),english,
2851,"english (fluently), other (okay)",english,
2852,"english (fluently), german (fluently), french (okay)","english, german",french
2853,english (fluently),english,
2854,english (fluently),english,
2855,english (fluently),english,
2856,english (fluently),english,
2857,english (fluently),english,
2858,english (fluently),english,
2859,"english (fluently), russian (fluently)","english, russian",
2860,"english (fluently), arabic (okay)",english,arabic
2861,"english (fluently), italian, spanish",english,"italian, spanish"
2862,english (fluently),english,
2863,english (fluently),english,
2864,english (fluently),english,
2865,english (fluently),english,
2866,"english (fluently), french, russian",english,"french, russian"
2867,english (fluently),english,
2868,"english (fluently), spanish, french (okay)",english,"spanish, french"
2869,english (fluently),english,
2870,"english (fluently), spanish (okay)",english,spanish
2871,"english (fluently), spanish (okay)",english,spanish
2872,english (fluently),english,
2873,english (fluently),english,
2874,"english (fluently), spanish (okay)",english,spanish
2875,english (fluently),english,
2876,"english (fluently), chinese (okay)",english,chinese
2877,english (fluently),english,
2878,english (fluently),english,
2879,english (fluently),english,
2880,"english (fluently), chinese (fluently)","english, chinese",
2881,english (fluently),english,
2882,"english (fluently), spanish (okay)",english,spanish
2883,"english (fluently), spanish (fluently)","english, spanish",
2884,english (fluently),english,
2885,english (okay),english,english
2886,english (fluently),english,
2887,english (fluently),english,
2888,"english (fluently), spanish (fluently)","english, spanish",
2889,"english (fluently), french (fluently)","english, french",
2890,english (fluently),english,
2891,"english (fluently), spanish (okay)",english,spanish
2892,english (fluently),english,
2893,english (fluently),english,
2894,"english (fluently), german (fluently)","english, german",
2895,"english (fluently), spanish (okay)",english,spanish
2896,english (fluently),english,
2897,"english (fluently), hindi (fluently), other (okay)","english, hindi",
2898,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
2899,english (fluently),english,
2900,english (fluently),english,
2901,english (fluently),english,
2902,english (fluently),english,
2903,english (fluently),english,
2904,english (fluently),english,
2905,english (fluently),english,
2906,english (fluently),english,
2907,english (fluently),english,
2908,english (fluently),english,
2909,"english (fluently), chinese (fluently)","english, chinese",
2910,english (fluently),english,
2911,english (fluently),english,
2912,english (fluently),english,
2913,english (fluently),english,
2914,english (fluently),english,
2915,english (fluently),english,
2916,english (fluently),english,
2917,english (fluently),english,
2918,english (fluently),english,
2919,english (fluently),english,
2920,english (fluently),english,
2921,english (fluently),english,
2922,english (fluently),english,
2923,"english (fluently), sign language (okay)",english,sign language
2924,"english (fluently), chinese (fluently)","english, chinese",
2925,english (fluently),english,
2926,english (fluently),english,
2927,"english (fluently), swahili (okay), hebrew (okay), sign language (okay), spanish (okay)",english,"swahili, hebrew, sign language, spanish"
2928,"english (fluently), french (okay)",english,french
2929,english (fluently),english,
2930,english (fluently),english,
2931,"english (fluently), c++ (fluently)","english, c++",
2932,english (fluently),english,
2933,"english (fluently), french, german",english,"french, german"
2934,english (fluently),english,
2935,"english (fluently), french (okay)",english,french
2936,"english (fluently), croatian, serbian",english,"croatian, serbian"
2937,"english (fluently), russian (fluently)","english, russian",
2938,english (fluently),english,
2939,"english (fluently), german (fluently)","english, german",
2940,english (fluently),english,
2941,english (fluently),english,
2942,english (fluently),english,
2943,english (fluently),english,
2944,"english (fluently), spanish (okay)",english,spanish
2945,"english (fluently), spanish (okay)",english,spanish
2946,"english (fluently), chinese (okay), c++ (fluently)","english, c++",chinese
2947,"english (fluently), spanish (okay)",english,spanish
2948,"english (fluently), spanish (fluently)","english, spanish",
2949,"english (fluently), vietnamese (okay)",english,vietnamese
2950,"english (okay), chinese (okay)",english,"english, chinese"
2951,english (fluently),english,
2952,english (fluently),english,
2953,english (fluently),english,
2954,english (fluently),english,
2955,"english (fluently), english (fluently)",english,
2956,english (fluently),english,
2957,"english (fluently), spanish, portuguese",english,"spanish, portuguese"
2958,english (okay),english,english
2959,english (okay),english,english
2960,english (fluently),english,
2961,english (fluently),english,
2962,"english (fluently), german (fluently)","english, german",
2963,english (fluently),english,
2964,english (fluently),english,
2965,english (fluently),english,
2966,"english (fluently), spanish (okay)",english,spanish
2967,english (fluently),english,
2968,"english (fluently), spanish",english,spanish
2969,english (fluently),english,
2970,english (fluently),english,
2971,"english (fluently), polish (fluently)","english, polish",
2972,english (fluently),english,
2973,"english (fluently), french (okay)",english,french
2974,english (fluently),english,
2975,english (fluently),english,
2976,"english (fluently), chinese (okay)",english,chinese
2977,english (fluently),english,
2978,"english (fluently), spanish (fluently)","english, spanish",
2979,"english (fluently), spanish (fluently)","english, spanish",
2980,"english (fluently), italian (fluently), sign language (fluently)","english, italian, sign language",
2981,english (fluently),english,
2982,"english (fluently), chinese (fluently)","english, chinese",
2983,"english (fluently), spanish (okay)",english,spanish
2984,english (fluently),english,
2985,english (fluently),english,
2986,"english (fluently), chinese (okay)",english,chinese
2987,english (fluently),english,
2988,english (fluently),english,
2989,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
2990,english (fluently),english,
2991,"english (fluently), other (fluently)",english,
2992,english (fluently),english,
2993,english (fluently),english,
2994,"english (fluently), spanish (okay)",english,spanish
2995,"english (okay), french (fluently)",french,english
2996,english (fluently),english,
2997,"english (fluently), german (okay)",english,german
2998,english (fluently),english,
2999,"english (fluently), spanish (okay)",english,spanish
3000,"english (fluently), spanish",english,spanish
3001,english (fluently),english,
3002,english (okay),english,english
3003,english (fluently),english,
3004,"english (fluently), italian (fluently), spanish (okay)","english, italian",spanish
3005,english (fluently),english,
3006,english (fluently),english,
3007,english (fluently),english,
3008,"english (fluently), french (okay)",english,french
3009,"english (fluently), spanish",english,spanish
3010,"english (fluently), chinese (fluently)","english, chinese",
3011,english (fluently),english,
3012,"english (fluently), sign language (fluently)","english, sign language",
3013,english (fluently),english,
3014,english (fluently),english,
3015,english (fluently),english,
3016,english (fluently),english,
3017,english (fluently),english,
3018,"english (fluently), thai (fluently)","english, thai",
3019,"english (fluently), french (fluently)","english, french",
3020,english (fluently),english,
3021,"english (fluently), chinese, spanish",english,"chinese, spanish"
3022,english (fluently),english,
3023,"english (fluently), spanish (okay)",english,spanish
3024,english (fluently),english,
3025,english (fluently),english,
3026,english (fluently),english,
3027,"english (fluently), japanese (fluently), spanish (fluently), portuguese (okay)","english, japanese, spanish",portuguese
3028,"english (fluently), c++ (fluently), hindi (fluently)","english, c++, hindi",
3029,"english (fluently), spanish (okay)",english,spanish
3030,english (fluently),english,
3031,english (fluently),english,
3032,english (fluently),english,
3033,english (fluently),english,
3034,"english (fluently), hebrew (okay)",english,hebrew
3035,english (fluently),english,
3036,"english (fluently), portuguese (fluently), hindi (fluently), urdu (okay), spanish (okay)","english, portuguese, hindi","urdu, spanish"
3037,"english (fluently), spanish",english,spanish
3038,english (fluently),english,
3039,english (fluently),english,
3040,english (fluently),english,
3041,"english (fluently), italian (okay)",english,italian
3042,,english,
3043,"english (fluently), spanish",english,spanish
3044,english (fluently),english,
3045,"english (fluently), japanese",english,japanese
3046,english (fluently),english,
3047,"english (fluently), spanish (fluently)","english, spanish",
3048,english (fluently),english,
3049,"english (fluently), farsi (fluently)","english, farsi",
3050,english (fluently),english,
3051,"english (fluently), persian (fluently), c++ (okay)","english, persian",c++
3052,"english (fluently), arabic (fluently), french (fluently)","english, arabic, french",
3053,english (fluently),english,
3054,english (fluently),english,
3055,english (fluently),english,
3056,"english (fluently), farsi (okay)",english,farsi
3057,english (fluently),english,
3058,english (fluently),english,
3059,"english (fluently), farsi (fluently)","english, farsi",
3060,english (fluently),english,
3061,english (fluently),english,
3062,english (fluently),english,
3063,english (fluently),english,
3064,"english (fluently), chinese (okay)",english,chinese
3065,english (fluently),english,
3066,sign language (okay),english,sign language
3067,"english (fluently), hebrew (fluently), spanish (okay)","english, hebrew",spanish
3068,english (fluently),english,
3069,english (fluently),english,
3070,english (fluently),english,
3071,english (fluently),english,
3072,"english (fluently), other (okay)",english,
3073,english (fluently),english,
3074,english (fluently),english,
3075,english (fluently),english,
3076,english (fluently),english,
3077,english (fluently),english,
3078,"english (fluently), other (okay), spanish (okay)",english,spanish
3079,english (fluently),english,
3080,english (fluently),english,
3081,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
3082,english (fluently),english,
3083,english (fluently),english,
3084,"english (fluently), other (okay), spanish (okay)",english,spanish
3085,"english (fluently), spanish",english,spanish
3086,english (fluently),english,
3087,"english (fluently), french (fluently)","english, french",
3088,english (fluently),english,
3089,"english (fluently), greek (okay)",english,greek
3090,english (fluently),english,
3091,"english (fluently), sign language (okay)",english,sign language
3092,english (fluently),english,
3093,"english (fluently), arabic (okay)",english,arabic
3094,english (fluently),english,
3095,english (fluently),english,
3096,english (fluently),english,
3097,"english (fluently), spanish (fluently), thai (okay)","english, spanish",thai
3098,"english (fluently), chinese (okay)",english,chinese
3099,english (fluently),english,
3100,"english (fluently), russian (okay)",english,russian
3101,english (fluently),english,
3102,"english (fluently), hindi (okay), french (fluently), german (okay), spanish (okay)","english, french","hindi, german, spanish"
3103,english (fluently),english,
3104,english (fluently),english,
3105,"english (okay), arabic (fluently)",arabic,english
3106,"english (fluently), spanish (okay)",english,spanish
3107,"english (fluently), spanish",english,spanish
3108,"english (fluently), french (fluently)","english, french",
3109,english (fluently),english,
3110,"english (fluently), spanish (okay)",english,spanish
3111,english (fluently),english,
3112,english (fluently),english,
3113,english (fluently),english,
3114,,english,
3115,english (fluently),english,
3116,english (okay),english,english
3117,,english,
3118,"english (fluently), french (okay)",english,french
3119,english (fluently),english,
3120,english (fluently),english,
3121,"english (fluently), other",english,
3122,english (fluently),english,
3123,"english (fluently), c++ (fluently), spanish (okay)","english, c++",spanish
3124,english (fluently),english,
3125,"english (fluently), spanish (okay)",english,spanish
3126,"english (fluently), spanish (okay)",english,spanish
3127,"english (okay), dutch (fluently), french (okay), german (fluently)","dutch, german","english, french"
3128,"english (fluently), french (okay)",english,french
3129,"english (fluently), spanish (okay)",english,spanish
3130,"english (fluently), french (okay)",english,french
3131,"english (fluently), russian (fluently), belarusan (fluently)","english, russian, belarusan",
3132,"english (okay), thai",english,"english, thai"
3133,"english (fluently), spanish (okay)",english,spanish
3134,english (fluently),english,
3135,"english (fluently), spanish (fluently)","english, spanish",
3136,english (fluently),english,
3137,"english (fluently), spanish",english,spanish
3138,"english (fluently), latin (fluently), other (okay)","english, latin",
3139,"english (fluently), chinese",english,chinese
3140,english (fluently),english,
3141,english (fluently),english,
3142,english (fluently),english,
3143,english (fluently),english,
3144,english (fluently),english,
3145,"english (fluently), spanish (fluently)","english, spanish",
3146,"english (fluently), italian",english,italian
3147,english (fluently),english,
3148,"english (fluently), french (okay)",english,french
3149,"english (fluently), chinese (okay)",english,chinese
3150,english (fluently),english,
3151,english (fluently),english,
3152,english (fluently),english,
3153,english (fluently),english,
3154,english (fluently),english,
3155,english (fluently),english,
3156,english (fluently),english,
3157,english (fluently),english,
3158,english (fluently),english,
3159,english (fluently),english,
3160,english (fluently),english,
3161,english (fluently),english,
3162,english (fluently),english,
3163,"english (fluently), japanese (okay)",english,japanese
3164,english (fluently),english,
3165,english (fluently),english,
3166,english (fluently),english,
3167,english (fluently),english,
3168,"english (fluently), french (fluently), arabic (fluently)","english, french, arabic",
3169,english (fluently),english,
3170,english (fluently),english,
3171,english (fluently),english,
3172,english (fluently),english,
3173,english (fluently),english,
3174,"english (fluently), french (okay), other (fluently)",english,french
3175,english (fluently),english,
3176,"english (fluently), spanish (okay)",english,spanish
3177,"english (fluently), spanish (fluently)","english, spanish",
3178,"english (fluently), spanish (okay)",english,spanish
3179,,english,
3180,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
3181,english (fluently),english,
3182,english (fluently),english,
3183,english (fluently),english,
3184,"english (fluently), spanish",english,spanish
3185,english (fluently),english,
3186,"english (fluently), portuguese (fluently), spanish (fluently)","english, portuguese, spanish",
3187,english (fluently),english,
3188,english (fluently),english,
3189,english (fluently),english,
3190,english (fluently),english,
3191,"english (fluently), c++ (okay)",english,c++
3192,"english (fluently), spanish (fluently)","english, spanish",
3193,english (fluently),english,
3194,"english (fluently), spanish (fluently)","english, spanish",
3195,"english (fluently), spanish (fluently)","english, spanish",
3196,"english (fluently), russian (fluently), turkish (okay), other (fluently)","english, russian",turkish
3197,"english (fluently), french (okay), spanish (fluently)","english, spanish",french
3198,"english (fluently), hebrew (okay)",english,hebrew
3199,english (fluently),english,
3200,english (fluently),english,
3201,english (fluently),english,
3202,"english (fluently), esperanto (fluently)","english, esperanto",
3203,,english,
3204,english (fluently),english,
3205,english (fluently),english,
3206,"english (fluently), sanskrit (okay)",english,sanskrit
3207,english (fluently),english,
3208,english (fluently),english,
3209,english (fluently),english,
3210,"english (fluently), other (fluently)",english,
3211,"english (fluently), hindi (okay)",english,hindi
3212,english (fluently),english,
3213,"english (fluently), german (fluently), spanish (fluently), french (okay)","english, german, spanish",french
3214,english (fluently),english,
3215,english (fluently),english,
3216,english (fluently),english,
3217,"english (fluently), spanish",english,spanish
3218,"english (fluently), spanish (fluently)","english, spanish",
3219,english (fluently),english,
3220,english (fluently),english,
3221,"english (fluently), other (okay)",english,
3222,english (fluently),english,
3223,english (fluently),english,
3224,"english (fluently), russian (fluently), french (okay)","english, russian",french
3225,english (fluently),english,
3226,"english (fluently), french (okay), hebrew (okay)",english,"french, hebrew"
3227,english (fluently),english,
3228,"english (fluently), russian (fluently)","english, russian",
3229,english (fluently),english,
3230,english (fluently),english,
3231,english (fluently),english,
3232,"english (fluently), spanish, french",english,"spanish, french"
3233,"english (fluently), french (fluently), italian (fluently)","english, french, italian",
3234,english (fluently),english,
3235,english (fluently),english,
3236,english (fluently),english,
3237,"english (fluently), german",english,german
3238,"english (fluently), c++ (fluently)","english, c++",
3239,"english (fluently), chinese (okay)",english,chinese
3240,"english (fluently), hebrew (okay)",english,hebrew
3241,"english (fluently), spanish",english,spanish
3242,english (fluently),english,
3243,"english (fluently), german (okay), swedish (okay)",english,"german, swedish"
3244,"english (fluently), italian (okay), french (okay)",english,"italian, french"
3245,english (fluently),english,
3246,english (fluently),english,
3247,english (fluently),english,
3248,,english,
3249,english (fluently),english,
3250,english (fluently),english,
3251,english (fluently),english,
3252,english (fluently),english,
3253,"english (fluently), spanish (fluently), french (okay), portuguese (okay)","english, spanish","french, portuguese"
3254,english (fluently),english,
3255,"english (fluently), chinese",english,chinese
3256,english (fluently),english,
3257,english (fluently),english,
3258,english (fluently),english,
3259,english (fluently),english,
3260,english (fluently),english,
3261,english (fluently),english,
3262,"english (fluently), c++ (okay), french (fluently)","english, french",c++
3263,english (fluently),english,
3264,english (fluently),english,
3265,"english (fluently), italian (fluently)","english, italian",
3266,"english (fluently), spanish (okay)",english,spanish
3267,"english (fluently), korean, spanish",english,"korean, spanish"
3268,english (fluently),english,
3269,"english (fluently), french (okay), italian (okay)",english,"french, italian"
3270,"english (fluently), spanish (okay)",english,spanish
3271,"english (fluently), chinese (fluently), latin (okay), sanskrit (okay), french (okay)","english, chinese","latin, sanskrit, french"
3272,english (fluently),english,
3273,"english (fluently), german (fluently), spanish (okay)","english, german",spanish
3274,"english (fluently), spanish, japanese, german",english,"spanish, japanese, german"
3275,"english (fluently), french (okay)",english,french
3276,english (fluently),english,
3277,"english (fluently), german, russian",english,"german, russian"
3278,"english (fluently), japanese",english,japanese
3279,"english (fluently), japanese (fluently), korean (okay)","english, japanese",korean
3280,english (fluently),english,
3281,english (fluently),english,
3282,"english (fluently), french, korean (okay)",english,"french, korean"
3283,"english (fluently), portuguese (fluently), spanish (okay)","english, portuguese",spanish
3284,english (okay),english,english
3285,"english (fluently), spanish (fluently), german (okay)","english, spanish",german
3286,english (fluently),english,
3287,"english (okay), french (fluently), spanish (okay)",french,"english, spanish"
3288,"english (fluently), hebrew (fluently)","english, hebrew",
3289,"english (fluently), hungarian (fluently), spanish (fluently)","english, hungarian, spanish",
3290,english (fluently),english,
3291,"english (fluently), french, italian",english,"french, italian"
3292,"english (fluently), spanish (fluently)","english, spanish",
3293,english (fluently),english,
3294,"english (fluently), italian (fluently)","english, italian",
3295,english (fluently),english,
3296,"english (fluently), italian, spanish",english,"italian, spanish"
3297,"english (fluently), spanish (okay)",english,spanish
3298,english (fluently),english,
3299,english (fluently),english,
3300,english (fluently),english,
3301,english (fluently),english,
3302,"english (fluently), french (okay)",english,french
3303,"english (fluently), spanish (fluently)","english, spanish",
3304,"english (fluently), russian (fluently)","english, russian",
3305,english (fluently),english,
3306,"english (fluently), german (fluently), french (fluently), spanish (okay)","english, german, french",spanish
3307,"english (fluently), norwegian (fluently), german (okay), thai (okay)","english, norwegian","german, thai"
