index,ethnicity,ethnicity_1,ethnicity_2,ethnicity_3
17862,asian,asian,,
17863,white,white,,
17864,white,white,,
17865,hispanic / latin,rather not disclose,,
17866,white,white,,
17867,"asian, pacific islander",asian,pacific islander,
17868,white,white,,
17869,white,white,,
17870,white,white,,
17871,white,white,,
17872,white,white,,
17873,rather not disclose,rather not disclose,,
17874,white,white,,
17875,white,white,,
17876,asian,asian,,
17877,rather not disclose,rather not disclose,,
17878,white,white,,
17879,white,white,,
17880,hispanic / latin,rather not disclose,,
17881,other,rather not disclose,,other
17882,asian,asian,,
17883,rather not disclose,rather not disclose,,
17884,hispanic / latin,rather not disclose,,
17885,white,white,,
17886,white,white,,
17887,rather not disclose,rather not disclose,,
17888,white,white,,
17889,white,white,,
17890,white,white,,
17891,asian,asian,,
17892,rather not disclose,rather not disclose,,
17893,white,white,,
17894,other,rather not disclose,,other
17895,white,white,,
17896,white,white,,
17897,rather not disclose,rather not disclose,,
17898,"black, native american, white",black,white,native american
17899,white,white,,
17900,rather not disclose,rather not disclose,,
17901,white,white,,
17902,black,black,,
17903,indian,indian,,
17904,white,white,,
17905,white,white,,
17906,"black, white",mixed,,
17907,hispanic / latin,rather not disclose,,
17908,"black, hispanic / latin",black,,
17909,"hispanic / latin, other",rather not disclose,,other
17910,white,white,,
17911,white,white,,
17912,rather not disclose,rather not disclose,,
17913,hispanic / latin,rather not disclose,,
17914,white,white,,
17915,white,white,,
17916,"asian, middle eastern, white, other",asian,white,middle eastern
17917,hispanic / latin,rather not disclose,,
17918,white,white,,
17919,asian,asian,,
17920,white,white,,
17921,rather not disclose,rather not disclose,,
17922,indian,indian,,
17923,white,white,,
17924,"hispanic / latin, white",white,,
17925,white,white,,
17926,asian,asian,,
17927,white,white,,
17928,"black, native american, white",black,white,native american
17929,native american,native american,,
17930,white,white,,
17931,white,white,,
17932,white,white,,
17933,"black, native american, hispanic / latin",black,native american,
17934,rather not disclose,rather not disclose,,
17935,"black, other",black,,other
17936,rather not disclose,rather not disclose,,
17937,rather not disclose,rather not disclose,,
17938,asian,asian,,
17939,white,white,,
17940,rather not disclose,rather not disclose,,
17941,white,white,,
17942,rather not disclose,rather not disclose,,
17943,white,white,,
17944,white,white,,
17945,white,white,,
17946,white,white,,
17947,white,white,,
17948,white,white,,
17949,other,rather not disclose,,other
17950,white,white,,
17951,asian,asian,,
17952,"hispanic / latin, white",white,,
17953,"hispanic / latin, other",rather not disclose,,other
17954,rather not disclose,rather not disclose,,
17955,"black, indian",black,indian,
17956,rather not disclose,rather not disclose,,
17957,other,rather not disclose,,other
17958,asian,asian,,
17959,asian,asian,,
17960,white,white,,
17961,white,white,,
17962,asian,asian,,
17963,white,white,,
17964,white,white,,
17965,hispanic / latin,rather not disclose,,
17966,white,white,,
17967,white,white,,
17968,"asian, white",asian,white,
17969,hispanic / latin,rather not disclose,,
17970,white,white,,
17971,rather not disclose,rather not disclose,,
17972,pacific islander,pacific islander,,
17973,black,black,,
17974,"white, other",white,,other
17975,other,rather not disclose,,other
17976,white,white,,
17977,white,white,,
17978,white,white,,
17979,rather not disclose,rather not disclose,,
17980,"native american, white",white,native american,
17981,"hispanic / latin, white",white,,
17982,hispanic / latin,rather not disclose,,
17983,hispanic / latin,rather not disclose,,
17984,white,white,,
17985,white,white,,
17986,white,white,,
17987,white,white,,
17988,white,white,,
17989,white,white,,
17990,"hispanic / latin, white",white,,
17991,white,white,,
17992,white,white,,
17993,white,white,,
17994,other,rather not disclose,,other
17995,"hispanic / latin, white",white,,
17996,white,white,,
17997,hispanic / latin,rather not disclose,,
17998,white,white,,
17999,hispanic / latin,rather not disclose,,
18000,white,white,,
18001,"white, other",white,,other
18002,rather not disclose,rather not disclose,,
18003,asian,asian,,
18004,asian,asian,,
18005,white,white,,
18006,asian,asian,,
18007,hispanic / latin,rather not disclose,,
18008,white,white,,
18009,white,white,,
18010,white,white,,
18011,"white, other",white,,other
18012,rather not disclose,rather not disclose,,
18013,indian,indian,,
18014,hispanic / latin,rather not disclose,,
18015,other,rather not disclose,,other
18016,white,white,,
18017,white,white,,
18018,rather not disclose,rather not disclose,,
18019,"hispanic / latin, white",white,,
18020,white,white,,
18021,white,white,,
18022,rather not disclose,rather not disclose,,
18023,"black, white",mixed,,
18024,rather not disclose,rather not disclose,,
18025,white,white,,
18026,white,white,,
18027,white,white,,
18028,asian,asian,,
18029,white,white,,
18030,"asian, native american, pacific islander, white, other",asian,white,native american
18031,white,white,,
18032,white,white,,
18033,white,white,,
18034,asian,asian,,
18035,hispanic / latin,rather not disclose,,
18036,rather not disclose,rather not disclose,,
18037,white,white,,
18038,white,white,,
18039,white,white,,
18040,white,white,,
18041,white,white,,
18042,white,white,,
18043,asian,asian,,
18044,hispanic / latin,rather not disclose,,
18045,other,rather not disclose,,other
18046,white,white,,
18047,white,white,,
18048,white,white,,
18049,rather not disclose,rather not disclose,,
18050,rather not disclose,rather not disclose,,
18051,white,white,,
18052,white,white,,
18053,"asian, white",asian,white,
18054,white,white,,
18055,white,white,,
18056,white,white,,
18057,asian,asian,,
18058,white,white,,
18059,white,white,,
18060,middle eastern,middle eastern,,
18061,asian,asian,,
18062,white,white,,
18063,white,white,,
18064,hispanic / latin,rather not disclose,,
18065,white,white,,
18066,asian,asian,,
18067,white,white,,
18068,white,white,,
18069,other,rather not disclose,,other
18070,asian,asian,,
18071,white,white,,
18072,black,black,,
18073,white,white,,
18074,white,white,,
18075,other,rather not disclose,,other
18076,hispanic / latin,rather not disclose,,
18077,pacific islander,pacific islander,,
18078,white,white,,
18079,rather not disclose,rather not disclose,,
18080,white,white,,
18081,hispanic / latin,rather not disclose,,
18082,rather not disclose,rather not disclose,,
18083,white,white,,
18084,rather not disclose,rather not disclose,,
18085,white,white,,
18086,white,white,,
18087,"asian, pacific islander",asian,pacific islander,
18088,white,white,,
18089,white,white,,
18090,white,white,,
18091,"asian, pacific islander",asian,pacific islander,
18092,pacific islander,pacific islander,,
18093,white,white,,
18094,indian,indian,,
18095,indian,indian,,
18096,white,white,,
18097,asian,asian,,
18098,hispanic / latin,rather not disclose,,
18099,"native american, white",white,native american,
18100,rather not disclose,rather not disclose,,
18101,white,white,,
18102,"asian, white",asian,white,
18103,white,white,,
18104,white,white,,
18105,white,white,,
18106,white,white,,
18107,white,white,,
18108,pacific islander,pacific islander,,
18109,white,white,,
18110,other,rather not disclose,,other
18111,other,rather not disclose,,other
18112,white,white,,
18113,asian,asian,,
18114,asian,asian,,
18115,white,white,,
18116,white,white,,
18117,white,white,,
18118,white,white,,
18119,white,white,,
18120,hispanic / latin,rather not disclose,,
18121,rather not disclose,rather not disclose,,
18122,white,white,,
18123,white,white,,
18124,white,white,,
18125,white,white,,
18126,asian,asian,,
18127,white,white,,
18128,asian,asian,,
18129,rather not disclose,rather not disclose,,
18130,rather not disclose,rather not disclose,,
18131,asian,asian,,
18132,asian,asian,,
18133,white,white,,
18134,black,black,,
18135,hispanic / latin,rather not disclose,,
18136,other,rather not disclose,,other
18137,asian,asian,,
18138,white,white,,
18139,"hispanic / latin, white",white,,
18140,white,white,,
18141,white,white,,
18142,white,white,,
18143,pacific islander,pacific islander,,
18144,black,black,,
18145,white,white,,
18146,white,white,,
18147,white,white,,
18148,asian,asian,,
18149,white,white,,
18150,rather not disclose,rather not disclose,,
18151,white,white,,
18152,white,white,,
18153,white,white,,
18154,asian,asian,,
18155,white,white,,
18156,"native american, white",white,native american,
18157,asian,asian,,
18158,white,white,,
18159,rather not disclose,rather not disclose,,
18160,"black, white",mixed,,
18161,white,white,,
18162,white,white,,
18163,"asian, pacific islander, white",asian,white,pacific islander
18164,white,white,,
18165,"white, other",white,,other
18166,white,white,,
18167,rather not disclose,rather not disclose,,
18168,other,rather not disclose,,other
18169,rather not disclose,rather not disclose,,
18170,"asian, native american, white, other",asian,white,native american
18171,"black, white, other",black,white,other
18172,white,white,,
18173,asian,asian,,
18174,rather not disclose,rather not disclose,,
18175,"black, native american",black,native american,
18176,"asian, white",asian,white,
18177,white,white,,
18178,rather not disclose,rather not disclose,,
18179,rather not disclose,rather not disclose,,
18180,white,white,,
18181,hispanic / latin,rather not disclose,,
18182,white,white,,
18183,white,white,,
18184,white,white,,
18185,asian,asian,,
18186,"native american, white",white,native american,
18187,"pacific islander, white",white,pacific islander,
18188,asian,asian,,
18189,rather not disclose,rather not disclose,,
18190,white,white,,
18191,white,white,,
18192,white,white,,
18193,white,white,,
18194,white,white,,
18195,white,white,,
18196,asian,asian,,
18197,white,white,,
18198,white,white,,
18199,asian,asian,,
18200,rather not disclose,rather not disclose,,
18201,rather not disclose,rather not disclose,,
18202,white,white,,
18203,white,white,,
18204,white,white,,
18205,white,white,,
18206,other,rather not disclose,,other
18207,white,white,,
18208,asian,asian,,
18209,"black, native american, white",black,white,native american
18210,white,white,,
18211,"hispanic / latin, white",white,,
18212,white,white,,
18213,hispanic / latin,rather not disclose,,
18214,asian,asian,,
18215,white,white,,
18216,rather not disclose,rather not disclose,,
18217,black,black,,
18218,black,black,,
18219,asian,asian,,
18220,asian,asian,,
18221,white,white,,
18222,asian,asian,,
18223,rather not disclose,rather not disclose,,
18224,asian,asian,,
18225,rather not disclose,rather not disclose,,
18226,middle eastern,middle eastern,,
18227,pacific islander,pacific islander,,
18228,"middle eastern, white",white,middle eastern,
18229,white,white,,
18230,white,white,,
18231,indian,indian,,
18232,white,white,,
18233,other,rather not disclose,,other
18234,white,white,,
18235,indian,indian,,
18236,asian,asian,,
18237,white,white,,
18238,white,white,,
18239,white,white,,
18240,white,white,,
18241,white,white,,
18242,rather not disclose,rather not disclose,,
18243,white,white,,
18244,white,white,,
18245,white,white,,
18246,white,white,,
18247,white,white,,
18248,asian,asian,,
18249,white,white,,
18250,asian,asian,,
18251,white,white,,
18252,black,black,,
18253,white,white,,
18254,white,white,,
18255,other,rather not disclose,,other
18256,rather not disclose,rather not disclose,,
18257,rather not disclose,rather not disclose,,
18258,white,white,,
18259,"asian, hispanic / latin",asian,,
18260,white,white,,
18261,white,white,,
18262,white,white,,
18263,white,white,,
18264,white,white,,
18265,white,white,,
18266,white,white,,
18267,"asian, white",asian,white,
18268,white,white,,
18269,"asian, white",asian,white,
18270,white,white,,
18271,"hispanic / latin, white, other",white,,other
18272,hispanic / latin,rather not disclose,,
18273,"black, other",black,,other
18274,white,white,,
18275,white,white,,
18276,"white, other",white,,other
18277,rather not disclose,rather not disclose,,
18278,"indian, white, other",white,indian,other
18279,white,white,,
18280,white,white,,
18281,"black, white",mixed,,
18282,white,white,,
18283,asian,asian,,
18284,white,white,,
18285,white,white,,
18286,white,white,,
18287,white,white,,
18288,white,white,,
18289,white,white,,
18290,other,rather not disclose,,other
18291,white,white,,
18292,white,white,,
18293,white,white,,
18294,white,white,,
18295,white,white,,
18296,white,white,,
18297,white,white,,
18298,"pacific islander, hispanic / latin",pacific islander,,
18299,white,white,,
18300,asian,asian,,
18301,black,black,,
18302,white,white,,
18303,white,white,,
18304,other,rather not disclose,,other
18305,white,white,,
18306,white,white,,
18307,hispanic / latin,rather not disclose,,
18308,indian,indian,,
18309,white,white,,
18310,white,white,,
18311,white,white,,
18312,white,white,,
18313,rather not disclose,rather not disclose,,
18314,white,white,,
18315,white,white,,
18316,hispanic / latin,rather not disclose,,
18317,white,white,,
18318,white,white,,
18319,white,white,,
18320,white,white,,
18321,white,white,,
18322,asian,asian,,
18323,white,white,,
18324,rather not disclose,rather not disclose,,
18325,black,black,,
18326,white,white,,
18327,white,white,,
18328,white,white,,
18329,white,white,,
18330,white,white,,
18331,hispanic / latin,rather not disclose,,
18332,rather not disclose,rather not disclose,,
18333,white,white,,
18334,white,white,,
18335,pacific islander,pacific islander,,
18336,other,rather not disclose,,other
18337,white,white,,
18338,white,white,,
18339,white,white,,
18340,white,white,,
18341,hispanic / latin,rather not disclose,,
18342,white,white,,
18343,white,white,,
18344,"hispanic / latin, white",white,,
18345,other,rather not disclose,,other
18346,white,white,,
18347,asian,asian,,
18348,black,black,,
18349,black,black,,
18350,white,white,,
18351,rather not disclose,rather not disclose,,
18352,black,black,,
18353,black,black,,
18354,white,white,,
18355,white,white,,
18356,rather not disclose,rather not disclose,,
18357,white,white,,
18358,white,white,,
18359,white,white,,
18360,white,white,,
18361,white,white,,
18362,black,black,,
18363,"hispanic / latin, white",white,,
18364,white,white,,
18365,asian,asian,,
18366,"asian, other",asian,,other
18367,hispanic / latin,rather not disclose,,
18368,white,white,,
18369,white,white,,
18370,white,white,,
18371,white,white,,
18372,white,white,,
18373,white,white,,
18374,white,white,,
18375,white,white,,
18376,white,white,,
18377,white,white,,
18378,other,rather not disclose,,other
18379,white,white,,
18380,white,white,,
18381,other,rather not disclose,,other
18382,indian,indian,,
18383,white,white,,
18384,white,white,,
18385,"middle eastern, white",white,middle eastern,
18386,white,white,,
18387,"hispanic / latin, white",white,,
18388,white,white,,
18389,"black, native american, other",black,native american,other
18390,asian,asian,,
18391,white,white,,
18392,white,white,,
18393,white,white,,
18394,white,white,,
18395,white,white,,
18396,white,white,,
18397,rather not disclose,rather not disclose,,
18398,white,white,,
18399,white,white,,
18400,white,white,,
18401,rather not disclose,rather not disclose,,
18402,white,white,,
18403,"asian, white, other",asian,white,other
18404,rather not disclose,rather not disclose,,
18405,white,white,,
18406,white,white,,
18407,white,white,,
18408,"asian, indian",asian,indian,
18409,"native american, hispanic / latin, white",white,native american,
18410,white,white,,
18411,"asian, pacific islander",asian,pacific islander,
18412,black,black,,
18413,white,white,,
18414,"black, pacific islander",black,pacific islander,
18415,white,white,,
18416,white,white,,
18417,white,white,,
18418,"asian, pacific islander",asian,pacific islander,
18419,asian,asian,,
18420,white,white,,
18421,white,white,,
18422,white,white,,
18423,rather not disclose,rather not disclose,,
18424,white,white,,
18425,indian,indian,,
18426,white,white,,
18427,white,white,,
18428,white,white,,
18429,"black, other",black,,other
18430,white,white,,
18431,hispanic / latin,rather not disclose,,
18432,white,white,,
18433,"asian, white",asian,white,
18434,white,white,,
18435,asian,asian,,
18436,white,white,,
18437,white,white,,
18438,white,white,,
18439,"hispanic / latin, white",white,,
18440,rather not disclose,rather not disclose,,
18441,rather not disclose,rather not disclose,,
18442,"native american, white",white,native american,
18443,rather not disclose,rather not disclose,,
18444,white,white,,
18445,white,white,,
18446,white,white,,
18447,white,white,,
18448,"asian, black, native american, pacific islander, white",asian,black,white
18449,"hispanic / latin, white",white,,
18450,white,white,,
18451,white,white,,
18452,white,white,,
18453,rather not disclose,rather not disclose,,
18454,rather not disclose,rather not disclose,,
18455,rather not disclose,rather not disclose,,
18456,white,white,,
18457,"asian, indian",asian,indian,
18458,rather not disclose,rather not disclose,,
18459,asian,asian,,
18460,white,white,,
18461,rather not disclose,rather not disclose,,
18462,"middle eastern, white",white,middle eastern,
18463,white,white,,
18464,white,white,,
18465,white,white,,
18466,asian,asian,,
18467,other,rather not disclose,,other
18468,white,white,,
18469,pacific islander,pacific islander,,
18470,white,white,,
18471,rather not disclose,rather not disclose,,
18472,hispanic / latin,rather not disclose,,
18473,"asian, white, other",asian,white,other
18474,"middle eastern, white",white,middle eastern,
18475,black,black,,
18476,white,white,,
18477,hispanic / latin,rather not disclose,,
18478,white,white,,
18479,"hispanic / latin, white",white,,
18480,asian,asian,,
18481,white,white,,
18482,white,white,,
18483,white,white,,
18484,white,white,,
18485,white,white,,
18486,white,white,,
18487,rather not disclose,rather not disclose,,
18488,white,white,,
18489,rather not disclose,rather not disclose,,
18490,white,white,,
18491,other,rather not disclose,,other
18492,"hispanic / latin, white",white,,
18493,white,white,,
18494,white,white,,
18495,white,white,,
18496,white,white,,
18497,asian,asian,,
18498,white,white,,
18499,white,white,,
18500,white,white,,
18501,white,white,,
18502,"hispanic / latin, white",white,,
18503,white,white,,
18504,white,white,,
18505,white,white,,
18506,"asian, pacific islander",asian,pacific islander,
18507,white,white,,
18508,rather not disclose,rather not disclose,,
18509,white,white,,
18510,white,white,,
18511,white,white,,
18512,white,white,,
18513,white,white,,
18514,white,white,,
18515,indian,indian,,
18516,other,rather not disclose,,other
18517,white,white,,
18518,asian,asian,,
18519,white,white,,
18520,"hispanic / latin, other",rather not disclose,,other
18521,black,black,,
18522,white,white,,
18523,white,white,,
18524,asian,asian,,
18525,asian,asian,,
18526,white,white,,
18527,native american,native american,,
18528,black,black,,
18529,"hispanic / latin, white",white,,
18530,"asian, pacific islander",asian,pacific islander,
18531,black,black,,
18532,other,rather not disclose,,other
18533,hispanic / latin,rather not disclose,,
18534,white,white,,
18535,white,white,,
18536,asian,asian,,
18537,rather not disclose,rather not disclose,,
18538,white,white,,
18539,white,white,,
18540,white,white,,
18541,rather not disclose,rather not disclose,,
18542,white,white,,
18543,white,white,,
18544,"middle eastern, white",white,middle eastern,
18545,black,black,,
18546,hispanic / latin,rather not disclose,,
18547,"black, hispanic / latin",black,,
18548,indian,indian,,
18549,white,white,,
18550,white,white,,
18551,"asian, other",asian,,other
18552,white,white,,
18553,"hispanic / latin, white",white,,
18554,white,white,,
18555,white,white,,
18556,white,white,,
18557,white,white,,
18558,white,white,,
18559,white,white,,
18560,white,white,,
18561,black,black,,
18562,rather not disclose,rather not disclose,,
18563,white,white,,
18564,white,white,,
18565,white,white,,
18566,rather not disclose,rather not disclose,,
18567,asian,asian,,
18568,white,white,,
18569,rather not disclose,rather not disclose,,
18570,white,white,,
18571,white,white,,
18572,white,white,,
18573,white,white,,
18574,white,white,,
18575,white,white,,
18576,hispanic / latin,rather not disclose,,
18577,white,white,,
18578,white,white,,
18579,black,black,,
18580,rather not disclose,rather not disclose,,
18581,middle eastern,middle eastern,,
18582,asian,asian,,
18583,white,white,,
18584,asian,asian,,
18585,white,white,,
18586,white,white,,
18587,other,rather not disclose,,other
18588,rather not disclose,rather not disclose,,
18589,white,white,,
18590,white,white,,
18591,white,white,,
18592,asian,asian,,
18593,white,white,,
18594,white,white,,
18595,white,white,,
18596,asian,asian,,
18597,hispanic / latin,rather not disclose,,
18598,black,black,,
18599,white,white,,
18600,white,white,,
18601,white,white,,
18602,white,white,,
18603,white,white,,
18604,white,white,,
18605,white,white,,
18606,black,black,,
18607,white,white,,
18608,asian,asian,,
18609,white,white,,
18610,white,white,,
18611,white,white,,
18612,white,white,,
18613,white,white,,
18614,white,white,,
18615,white,white,,
18616,white,white,,
18617,rather not disclose,rather not disclose,,
18618,white,white,,
18619,rather not disclose,rather not disclose,,
18620,"native american, white, other",white,native american,other
18621,rather not disclose,rather not disclose,,
18622,white,white,,
18623,white,white,,
18624,white,white,,
18625,hispanic / latin,rather not disclose,,
18626,white,white,,
18627,hispanic / latin,rather not disclose,,
18628,black,black,,
18629,black,black,,
18630,"asian, white",asian,white,
18631,white,white,,
18632,white,white,,
18633,white,white,,
18634,other,rather not disclose,,other
18635,rather not disclose,rather not disclose,,
18636,white,white,,
18637,asian,asian,,
18638,white,white,,
18639,white,white,,
18640,white,white,,
18641,"pacific islander, white",white,pacific islander,
18642,white,white,,
18643,rather not disclose,rather not disclose,,
18644,white,white,,
18645,asian,asian,,
18646,"native american, white",white,native american,
18647,white,white,,
18648,"asian, pacific islander",asian,pacific islander,
18649,white,white,,
18650,asian,asian,,
18651,asian,asian,,
18652,pacific islander,pacific islander,,
18653,white,white,,
18654,white,white,,
18655,white,white,,
18656,white,white,,
18657,"hispanic / latin, white",white,,
18658,white,white,,
18659,white,white,,
18660,white,white,,
18661,white,white,,
18662,white,white,,
18663,white,white,,
18664,rather not disclose,rather not disclose,,
18665,white,white,,
18666,hispanic / latin,rather not disclose,,
18667,white,white,,
18668,white,white,,
18669,white,white,,
18670,white,white,,
18671,white,white,,
18672,asian,asian,,
18673,white,white,,
18674,other,rather not disclose,,other
18675,white,white,,
18676,white,white,,
18677,white,white,,
18678,other,rather not disclose,,other
18679,white,white,,
18680,white,white,,
18681,white,white,,
18682,white,white,,
18683,white,white,,
18684,rather not disclose,rather not disclose,,
18685,white,white,,
18686,hispanic / latin,rather not disclose,,
18687,"pacific islander, white",white,pacific islander,
18688,"black, hispanic / latin",black,,
18689,asian,asian,,
18690,asian,asian,,
18691,other,rather not disclose,,other
18692,asian,asian,,
18693,native american,native american,,
18694,white,white,,
18695,white,white,,
18696,white,white,,
18697,white,white,,
18698,"hispanic / latin, white",white,,
18699,white,white,,
18700,white,white,,
18701,white,white,,
18702,white,white,,
18703,white,white,,
18704,white,white,,
18705,hispanic / latin,rather not disclose,,
18706,rather not disclose,rather not disclose,,
18707,white,white,,
18708,asian,asian,,
18709,white,white,,
18710,hispanic / latin,rather not disclose,,
18711,asian,asian,,
18712,indian,indian,,
18713,white,white,,
18714,asian,asian,,
18715,asian,asian,,
18716,white,white,,
18717,white,white,,
18718,other,rather not disclose,,other
18719,white,white,,
18720,other,rather not disclose,,other
18721,white,white,,
18722,white,white,,
18723,white,white,,
18724,white,white,,
18725,white,white,,
18726,white,white,,
18727,white,white,,
18728,white,white,,
18729,asian,asian,,
18730,asian,asian,,
18731,white,white,,
18732,rather not disclose,rather not disclose,,
18733,white,white,,
18734,white,white,,
18735,"asian, pacific islander",asian,pacific islander,
18736,black,black,,
18737,rather not disclose,rather not disclose,,
18738,white,white,,
18739,white,white,,
18740,white,white,,
18741,white,white,,
18742,white,white,,
18743,"asian, black, native american, indian, hispanic / latin, white, other",asian,black,white
18744,"hispanic / latin, white",white,,
18745,black,black,,
18746,white,white,,
18747,asian,asian,,
18748,white,white,,
18749,"asian, pacific islander",asian,pacific islander,
18750,white,white,,
18751,asian,asian,,
18752,asian,asian,,
18753,white,white,,
18754,asian,asian,,
18755,asian,asian,,
18756,"asian, white",asian,white,
18757,white,white,,
18758,asian,asian,,
18759,white,white,,
18760,"asian, pacific islander",asian,pacific islander,
18761,white,white,,
18762,white,white,,
18763,white,white,,
18764,white,white,,
18765,asian,asian,,
18766,white,white,,
18767,white,white,,
18768,white,white,,
18769,asian,asian,,
18770,white,white,,
18771,white,white,,
18772,asian,asian,,
18773,white,white,,
18774,rather not disclose,rather not disclose,,
18775,white,white,,
18776,white,white,,
18777,hispanic / latin,rather not disclose,,
18778,white,white,,
18779,white,white,,
18780,rather not disclose,rather not disclose,,
18781,"hispanic / latin, white",white,,
18782,white,white,,
18783,rather not disclose,rather not disclose,,
18784,white,white,,
18785,rather not disclose,rather not disclose,,
18786,white,white,,
18787,white,white,,
18788,white,white,,
18789,white,white,,
18790,white,white,,
18791,rather not disclose,rather not disclose,,
18792,rather not disclose,rather not disclose,,
18793,"asian, pacific islander",asian,pacific islander,
18794,rather not disclose,rather not disclose,,
18795,white,white,,
18796,white,white,,
18797,white,white,,
18798,other,rather not disclose,,other
18799,white,white,,
18800,rather not disclose,rather not disclose,,
18801,other,rather not disclose,,other
18802,rather not disclose,rather not disclose,,
18803,white,white,,
18804,white,white,,
18805,white,white,,
18806,other,rather not disclose,,other
18807,white,white,,
18808,white,white,,
18809,white,white,,
18810,white,white,,
18811,white,white,,
18812,white,white,,
18813,"asian, white",asian,white,
18814,asian,asian,,
18815,asian,asian,,
18816,white,white,,
18817,rather not disclose,rather not disclose,,
18818,"asian, white",asian,white,
18819,white,white,,
18820,pacific islander,pacific islander,,
18821,rather not disclose,rather not disclose,,
18822,asian,asian,,
18823,black,black,,
18824,white,white,,
18825,asian,asian,,
18826,white,white,,
18827,"asian, pacific islander, white",asian,white,pacific islander
18828,asian,asian,,
18829,white,white,,
18830,"asian, indian",asian,indian,
18831,white,white,,
18832,asian,asian,,
18833,"hispanic / latin, white",white,,
18834,rather not disclose,rather not disclose,,
18835,white,white,,
18836,indian,indian,,
18837,white,white,,
18838,white,white,,
18839,white,white,,
18840,white,white,,
18841,asian,asian,,
18842,white,white,,
18843,white,white,,
18844,other,rather not disclose,,other
18845,"white, other",white,,other
18846,white,white,,
18847,other,rather not disclose,,other
18848,white,white,,
18849,asian,asian,,
18850,white,white,,
18851,white,white,,
18852,white,white,,
18853,indian,indian,,
18854,white,white,,
18855,white,white,,
18856,white,white,,
18857,other,rather not disclose,,other
18858,white,white,,
18859,white,white,,
18860,black,black,,
18861,white,white,,
18862,white,white,,
18863,asian,asian,,
18864,asian,asian,,
18865,white,white,,
18866,white,white,,
18867,"asian, white",asian,white,
18868,asian,asian,,
18869,rather not disclose,rather not disclose,,
18870,rather not disclose,rather not disclose,,
18871,white,white,,
18872,white,white,,
18873,white,white,,
18874,white,white,,
18875,white,white,,
18876,"black, pacific islander",black,pacific islander,
18877,asian,asian,,
18878,white,white,,
18879,white,white,,
18880,white,white,,
18881,asian,asian,,
18882,pacific islander,pacific islander,,
18883,white,white,,
18884,white,white,,
18885,white,white,,
18886,white,white,,
18887,hispanic / latin,rather not disclose,,
18888,"native american, hispanic / latin",native american,,
18889,white,white,,
18890,white,white,,
18891,"black, hispanic / latin",black,,
18892,rather not disclose,rather not disclose,,
18893,white,white,,
18894,white,white,,
18895,indian,indian,,
18896,white,white,,
18897,white,white,,
18898,white,white,,
18899,white,white,,
18900,white,white,,
18901,other,rather not disclose,,other
18902,indian,indian,,
18903,white,white,,
18904,middle eastern,middle eastern,,
18905,white,white,,
18906,middle eastern,middle eastern,,
18907,white,white,,
18908,white,white,,
18909,white,white,,
18910,white,white,,
18911,hispanic / latin,rather not disclose,,
18912,rather not disclose,rather not disclose,,
18913,white,white,,
18914,rather not disclose,rather not disclose,,
18915,white,white,,
18916,asian,asian,,
18917,rather not disclose,rather not disclose,,
18918,black,black,,
18919,white,white,,
18920,"asian, hispanic / latin, white",asian,white,
18921,"hispanic / latin, white",white,,
18922,white,white,,
18923,"white, other",white,,other
18924,white,white,,
18925,"asian, pacific islander",asian,pacific islander,
18926,white,white,,
18927,"native american, hispanic / latin, white",white,native american,
18928,white,white,,
18929,white,white,,
18930,white,white,,
18931,asian,asian,,
18932,middle eastern,middle eastern,,
18933,white,white,,
18934,white,white,,
18935,rather not disclose,rather not disclose,,
18936,hispanic / latin,rather not disclose,,
18937,rather not disclose,rather not disclose,,
18938,white,white,,
18939,white,white,,
18940,"white, other",white,,other
18941,white,white,,
18942,white,white,,
18943,white,white,,
18944,white,white,,
18945,white,white,,
18946,white,white,,
18947,white,white,,
18948,white,white,,
18949,white,white,,
18950,white,white,,
18951,white,white,,
18952,white,white,,
18953,black,black,,
18954,white,white,,
18955,"pacific islander, white",white,pacific islander,
18956,white,white,,
18957,white,white,,
18958,white,white,,
18959,rather not disclose,rather not disclose,,
18960,white,white,,
18961,"black, native american, other",black,native american,other
18962,black,black,,
18963,white,white,,
18964,white,white,,
18965,"hispanic / latin, white",white,,
18966,white,white,,
18967,"native american, white",white,native american,
18968,white,white,,
18969,white,white,,
18970,asian,asian,,
18971,white,white,,
18972,white,white,,
18973,white,white,,
18974,white,white,,
18975,white,white,,
18976,"middle eastern, white, other",white,middle eastern,other
18977,white,white,,
18978,white,white,,
18979,white,white,,
18980,other,rather not disclose,,other
18981,white,white,,
18982,white,white,,
18983,white,white,,
18984,white,white,,
18985,white,white,,
18986,white,white,,
18987,white,white,,
18988,"middle eastern, white",white,middle eastern,
18989,rather not disclose,rather not disclose,,
18990,white,white,,
18991,white,white,,
18992,white,white,,
18993,white,white,,
18994,white,white,,
18995,white,white,,
18996,white,white,,
18997,white,white,,
18998,white,white,,
18999,white,white,,
19000,black,black,,
19001,indian,indian,,
19002,rather not disclose,rather not disclose,,
19003,other,rather not disclose,,other
19004,white,white,,
19005,white,white,,
19006,rather not disclose,rather not disclose,,
19007,rather not disclose,rather not disclose,,
19008,rather not disclose,rather not disclose,,
19009,white,white,,
19010,"asian, white",asian,white,
19011,white,white,,
19012,white,white,,
19013,"asian, pacific islander, hispanic / latin, white",asian,white,pacific islander
19014,white,white,,
19015,rather not disclose,rather not disclose,,
19016,white,white,,
19017,black,black,,
19018,white,white,,
