index,religion,religion_name,seriousness
10396,rather not disclose,rather not disclose,no importance
10397,other,other,no importance
10398,other but not too serious about it,other,no importance
10399,other and laughing about it,other,no importance
10400,other and somewhat serious about it,other,no importance
10401,rather not disclose,rather not disclose,no importance
10402,agnosticism,agnosticism,no importance
10403,catholicism but not too serious about it,catholicism,not too serious
10404,atheism but not too serious about it,atheism,not too serious
10405,christianity and laughing about it,christianity,laughing
10406,agnosticism but not too serious about it,agnosticism,not too serious
10407,rather not disclose,rather not disclose,no importance
10408,rather not disclose,rather not disclose,no importance
10409,catholicism but not too serious about it,catholicism,not too serious
10410,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10411,rather not disclose,rather not disclose,no importance
10412,judaism,judaism,no importance
10413,christianity but not too serious about it,christianity,not too serious
10414,atheism,atheism,no importance
10415,agnosticism,agnosticism,no importance
10416,agnosticism but not too serious about it,agnosticism,not too serious
10417,rather not disclose,rather not disclose,no importance
10418,christianity but not too serious about it,christianity,not too serious
10419,rather not disclose,rather not disclose,no importance
10420,rather not disclose,rather not disclose,no importance
10421,agnosticism,agnosticism,no importance
10422,atheism and laughing about it,atheism,laughing
10423,catholicism but not too serious about it,catholicism,not too serious
10424,rather not disclose,rather not disclose,no importance
10425,rather not disclose,rather not disclose,no importance
10426,atheism,atheism,no importance
10427,rather not disclose,rather not disclose,no importance
10428,other and laughing about it,other,no importance
10429,other and somewhat serious about it,other,no importance
10430,rather not disclose,rather not disclose,no importance
10431,rather not disclose,rather not disclose,no importance
10432,rather not disclose,rather not disclose,no importance
10433,rather not disclose,rather not disclose,no importance
10434,christianity,christianity,no importance
10435,rather not disclose,rather not disclose,no importance
10436,agnosticism but not too serious about it,agnosticism,not too serious
10437,agnosticism and laughing about it,agnosticism,laughing
10438,rather not disclose,rather not disclose,no importance
10439,other and laughing about it,other,no importance
10440,atheism and somewhat serious about it,atheism,somewhat serious
10441,atheism and laughing about it,atheism,laughing
10442,rather not disclose,rather not disclose,no importance
10443,atheism,atheism,no importance
10444,christianity,christianity,no importance
10445,catholicism,catholicism,no importance
10446,other,other,no importance
10447,rather not disclose,rather not disclose,no importance
10448,christianity,christianity,no importance
10449,other,other,no importance
10450,catholicism but not too serious about it,catholicism,not too serious
10451,rather not disclose,rather not disclose,no importance
10452,rather not disclose,rather not disclose,no importance
10453,other and laughing about it,other,no importance
10454,rather not disclose,rather not disclose,no importance
10455,agnosticism but not too serious about it,agnosticism,not too serious
10456,christianity,christianity,no importance
10457,rather not disclose,rather not disclose,no importance
10458,catholicism,catholicism,no importance
10459,catholicism and laughing about it,catholicism,laughing
10460,atheism but not too serious about it,atheism,not too serious
10461,rather not disclose,rather not disclose,no importance
10462,catholicism but not too serious about it,catholicism,not too serious
10463,rather not disclose,rather not disclose,no importance
10464,christianity and somewhat serious about it,christianity,somewhat serious
10465,rather not disclose,rather not disclose,no importance
10466,atheism,atheism,no importance
10467,atheism,atheism,no importance
10468,rather not disclose,rather not disclose,no importance
10469,rather not disclose,rather not disclose,no importance
10470,atheism,atheism,no importance
10471,catholicism but not too serious about it,catholicism,not too serious
10472,rather not disclose,rather not disclose,no importance
10473,christianity but not too serious about it,christianity,not too serious
10474,rather not disclose,rather not disclose,no importance
10475,rather not disclose,rather not disclose,no importance
10476,rather not disclose,rather not disclose,no importance
10477,agnosticism and laughing about it,agnosticism,laughing
10478,rather not disclose,rather not disclose,no importance
10479,catholicism but not too serious about it,catholicism,not too serious
10480,agnosticism,agnosticism,no importance
10481,rather not disclose,rather not disclose,no importance
10482,rather not disclose,rather not disclose,no importance
10483,judaism but not too serious about it,judaism,not too serious
10484,other and somewhat serious about it,other,no importance
10485,rather not disclose,rather not disclose,no importance
10486,catholicism but not too serious about it,catholicism,not too serious
10487,rather not disclose,rather not disclose,no importance
10488,catholicism but not too serious about it,catholicism,not too serious
10489,rather not disclose,rather not disclose,no importance
10490,catholicism but not too serious about it,catholicism,not too serious
10491,atheism,atheism,no importance
10492,other,other,no importance
10493,atheism and laughing about it,atheism,laughing
10494,rather not disclose,rather not disclose,no importance
10495,rather not disclose,rather not disclose,no importance
10496,agnosticism and laughing about it,agnosticism,laughing
10497,judaism but not too serious about it,judaism,not too serious
10498,rather not disclose,rather not disclose,no importance
10499,atheism and laughing about it,atheism,laughing
10500,other and laughing about it,other,no importance
10501,rather not disclose,rather not disclose,no importance
10502,rather not disclose,rather not disclose,no importance
10503,atheism but not too serious about it,atheism,not too serious
10504,agnosticism and laughing about it,agnosticism,laughing
10505,rather not disclose,rather not disclose,no importance
10506,christianity,christianity,no importance
10507,rather not disclose,rather not disclose,no importance
10508,other and somewhat serious about it,other,no importance
10509,atheism but not too serious about it,atheism,not too serious
10510,atheism and very serious about it,atheism,very serious
10511,other,other,no importance
10512,atheism,atheism,no importance
10513,agnosticism but not too serious about it,agnosticism,not too serious
10514,rather not disclose,rather not disclose,no importance
10515,rather not disclose,rather not disclose,no importance
10516,rather not disclose,rather not disclose,no importance
10517,atheism and laughing about it,atheism,laughing
10518,catholicism but not too serious about it,catholicism,not too serious
10519,catholicism but not too serious about it,catholicism,not too serious
10520,rather not disclose,rather not disclose,no importance
10521,rather not disclose,rather not disclose,no importance
10522,buddhism and laughing about it,buddhism,laughing
10523,catholicism but not too serious about it,catholicism,not too serious
10524,catholicism but not too serious about it,catholicism,not too serious
10525,rather not disclose,rather not disclose,no importance
10526,buddhism and laughing about it,buddhism,laughing
10527,rather not disclose,rather not disclose,no importance
10528,rather not disclose,rather not disclose,no importance
10529,rather not disclose,rather not disclose,no importance
10530,christianity and very serious about it,christianity,very serious
10531,rather not disclose,rather not disclose,no importance
10532,christianity and somewhat serious about it,christianity,somewhat serious
10533,christianity and laughing about it,christianity,laughing
10534,rather not disclose,rather not disclose,no importance
10535,christianity,christianity,no importance
10536,other but not too serious about it,other,no importance
10537,rather not disclose,rather not disclose,no importance
10538,atheism,atheism,no importance
10539,rather not disclose,rather not disclose,no importance
10540,christianity and somewhat serious about it,christianity,somewhat serious
10541,other,other,no importance
10542,other and very serious about it,other,no importance
10543,other and laughing about it,other,no importance
10544,atheism and laughing about it,atheism,laughing
10545,other,other,no importance
10546,atheism,atheism,no importance
10547,rather not disclose,rather not disclose,no importance
10548,rather not disclose,rather not disclose,no importance
10549,agnosticism and very serious about it,agnosticism,very serious
10550,rather not disclose,rather not disclose,no importance
10551,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10552,other,other,no importance
10553,atheism but not too serious about it,atheism,not too serious
10554,rather not disclose,rather not disclose,no importance
10555,christianity,christianity,no importance
10556,agnosticism and laughing about it,agnosticism,laughing
10557,christianity and very serious about it,christianity,very serious
10558,rather not disclose,rather not disclose,no importance
10559,other and laughing about it,other,no importance
10560,rather not disclose,rather not disclose,no importance
10561,christianity,christianity,no importance
10562,rather not disclose,rather not disclose,no importance
10563,other and laughing about it,other,no importance
10564,other and very serious about it,other,no importance
10565,other and laughing about it,other,no importance
10566,atheism but not too serious about it,atheism,not too serious
10567,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10568,other,other,no importance
10569,christianity and somewhat serious about it,christianity,somewhat serious
10570,rather not disclose,rather not disclose,no importance
10571,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10572,atheism,atheism,no importance
10573,other and laughing about it,other,no importance
10574,atheism and laughing about it,atheism,laughing
10575,rather not disclose,rather not disclose,no importance
10576,christianity but not too serious about it,christianity,not too serious
10577,catholicism,catholicism,no importance
10578,atheism but not too serious about it,atheism,not too serious
10579,agnosticism and laughing about it,agnosticism,laughing
10580,rather not disclose,rather not disclose,no importance
10581,christianity,christianity,no importance
10582,catholicism,catholicism,no importance
10583,agnosticism but not too serious about it,agnosticism,not too serious
10584,catholicism but not too serious about it,catholicism,not too serious
10585,catholicism but not too serious about it,catholicism,not too serious
10586,rather not disclose,rather not disclose,no importance
10587,catholicism and somewhat serious about it,catholicism,somewhat serious
10588,agnosticism,agnosticism,no importance
10589,rather not disclose,rather not disclose,no importance
10590,agnosticism but not too serious about it,agnosticism,not too serious
10591,catholicism but not too serious about it,catholicism,not too serious
10592,buddhism but not too serious about it,buddhism,not too serious
10593,rather not disclose,rather not disclose,no importance
10594,rather not disclose,rather not disclose,no importance
10595,agnosticism,agnosticism,no importance
10596,agnosticism but not too serious about it,agnosticism,not too serious
10597,atheism and laughing about it,atheism,laughing
10598,atheism and laughing about it,atheism,laughing
10599,other but not too serious about it,other,no importance
10600,agnosticism,agnosticism,no importance
10601,other and laughing about it,other,no importance
10602,catholicism but not too serious about it,catholicism,not too serious
10603,atheism,atheism,no importance
10604,rather not disclose,rather not disclose,no importance
10605,catholicism but not too serious about it,catholicism,not too serious
10606,atheism,atheism,no importance
10607,rather not disclose,rather not disclose,no importance
10608,rather not disclose,rather not disclose,no importance
10609,atheism,atheism,no importance
10610,catholicism but not too serious about it,catholicism,not too serious
10611,rather not disclose,rather not disclose,no importance
10612,buddhism but not too serious about it,buddhism,not too serious
10613,rather not disclose,rather not disclose,no importance
10614,christianity,christianity,no importance
10615,atheism and laughing about it,atheism,laughing
10616,other,other,no importance
10617,other and laughing about it,other,no importance
10618,rather not disclose,rather not disclose,no importance
10619,rather not disclose,rather not disclose,no importance
10620,catholicism but not too serious about it,catholicism,not too serious
10621,christianity but not too serious about it,christianity,not too serious
10622,catholicism and somewhat serious about it,catholicism,somewhat serious
10623,atheism but not too serious about it,atheism,not too serious
10624,rather not disclose,rather not disclose,no importance
10625,other but not too serious about it,other,no importance
10626,christianity but not too serious about it,christianity,not too serious
10627,agnosticism and laughing about it,agnosticism,laughing
10628,other,other,no importance
10629,christianity but not too serious about it,christianity,not too serious
10630,other but not too serious about it,other,no importance
10631,rather not disclose,rather not disclose,no importance
10632,christianity but not too serious about it,christianity,not too serious
10633,rather not disclose,rather not disclose,no importance
10634,rather not disclose,rather not disclose,no importance
10635,other and somewhat serious about it,other,no importance
10636,christianity,christianity,no importance
10637,agnosticism but not too serious about it,agnosticism,not too serious
10638,agnosticism,agnosticism,no importance
10639,agnosticism but not too serious about it,agnosticism,not too serious
10640,christianity and very serious about it,christianity,very serious
10641,rather not disclose,rather not disclose,no importance
10642,atheism but not too serious about it,atheism,not too serious
10643,christianity,christianity,no importance
10644,atheism and laughing about it,atheism,laughing
10645,christianity but not too serious about it,christianity,not too serious
10646,rather not disclose,rather not disclose,no importance
10647,atheism and somewhat serious about it,atheism,somewhat serious
10648,rather not disclose,rather not disclose,no importance
10649,rather not disclose,rather not disclose,no importance
10650,rather not disclose,rather not disclose,no importance
10651,rather not disclose,rather not disclose,no importance
10652,rather not disclose,rather not disclose,no importance
10653,other and very serious about it,other,no importance
10654,christianity but not too serious about it,christianity,not too serious
10655,atheism but not too serious about it,atheism,not too serious
10656,rather not disclose,rather not disclose,no importance
10657,atheism and laughing about it,atheism,laughing
10658,rather not disclose,rather not disclose,no importance
10659,catholicism but not too serious about it,catholicism,not too serious
10660,rather not disclose,rather not disclose,no importance
10661,rather not disclose,rather not disclose,no importance
10662,rather not disclose,rather not disclose,no importance
10663,agnosticism,agnosticism,no importance
10664,rather not disclose,rather not disclose,no importance
10665,atheism,atheism,no importance
10666,agnosticism,agnosticism,no importance
10667,agnosticism,agnosticism,no importance
10668,rather not disclose,rather not disclose,no importance
10669,buddhism but not too serious about it,buddhism,not too serious
10670,other but not too serious about it,other,no importance
10671,buddhism,buddhism,no importance
10672,agnosticism,agnosticism,no importance
10673,catholicism but not too serious about it,catholicism,not too serious
10674,rather not disclose,rather not disclose,no importance
10675,rather not disclose,rather not disclose,no importance
10676,christianity but not too serious about it,christianity,not too serious
10677,other and somewhat serious about it,other,no importance
10678,christianity and somewhat serious about it,christianity,somewhat serious
10679,hinduism and laughing about it,hinduism,laughing
10680,other,other,no importance
10681,rather not disclose,rather not disclose,no importance
10682,catholicism,catholicism,no importance
10683,buddhism but not too serious about it,buddhism,not too serious
10684,rather not disclose,rather not disclose,no importance
10685,rather not disclose,rather not disclose,no importance
10686,catholicism and laughing about it,catholicism,laughing
10687,agnosticism and laughing about it,agnosticism,laughing
10688,christianity and somewhat serious about it,christianity,somewhat serious
10689,christianity and somewhat serious about it,christianity,somewhat serious
10690,rather not disclose,rather not disclose,no importance
10691,christianity but not too serious about it,christianity,not too serious
10692,catholicism but not too serious about it,catholicism,not too serious
10693,rather not disclose,rather not disclose,no importance
10694,christianity and laughing about it,christianity,laughing
10695,catholicism but not too serious about it,catholicism,not too serious
10696,atheism,atheism,no importance
10697,agnosticism,agnosticism,no importance
10698,catholicism and laughing about it,catholicism,laughing
10699,rather not disclose,rather not disclose,no importance
10700,christianity,christianity,no importance
10701,catholicism,catholicism,no importance
10702,agnosticism,agnosticism,no importance
10703,rather not disclose,rather not disclose,no importance
10704,christianity and very serious about it,christianity,very serious
10705,rather not disclose,rather not disclose,no importance
10706,christianity but not too serious about it,christianity,not too serious
10707,rather not disclose,rather not disclose,no importance
10708,other,other,no importance
10709,catholicism but not too serious about it,catholicism,not too serious
10710,atheism but not too serious about it,atheism,not too serious
10711,christianity but not too serious about it,christianity,not too serious
10712,rather not disclose,rather not disclose,no importance
10713,rather not disclose,rather not disclose,no importance
10714,rather not disclose,rather not disclose,no importance
10715,other,other,no importance
10716,rather not disclose,rather not disclose,no importance
10717,rather not disclose,rather not disclose,no importance
10718,christianity but not too serious about it,christianity,not too serious
10719,rather not disclose,rather not disclose,no importance
10720,rather not disclose,rather not disclose,no importance
10721,other,other,no importance
10722,agnosticism but not too serious about it,agnosticism,not too serious
10723,rather not disclose,rather not disclose,no importance
10724,rather not disclose,rather not disclose,no importance
10725,other,other,no importance
10726,rather not disclose,rather not disclose,no importance
10727,atheism and laughing about it,atheism,laughing
10728,rather not disclose,rather not disclose,no importance
10729,agnosticism,agnosticism,no importance
10730,rather not disclose,rather not disclose,no importance
10731,other,other,no importance
10732,buddhism and somewhat serious about it,buddhism,somewhat serious
10733,rather not disclose,rather not disclose,no importance
10734,agnosticism and laughing about it,agnosticism,laughing
10735,rather not disclose,rather not disclose,no importance
10736,other and somewhat serious about it,other,no importance
10737,catholicism,catholicism,no importance
10738,christianity,christianity,no importance
10739,catholicism but not too serious about it,catholicism,not too serious
10740,rather not disclose,rather not disclose,no importance
10741,rather not disclose,rather not disclose,no importance
10742,rather not disclose,rather not disclose,no importance
10743,atheism,atheism,no importance
10744,rather not disclose,rather not disclose,no importance
10745,rather not disclose,rather not disclose,no importance
10746,rather not disclose,rather not disclose,no importance
10747,rather not disclose,rather not disclose,no importance
10748,atheism but not too serious about it,atheism,not too serious
10749,agnosticism but not too serious about it,agnosticism,not too serious
10750,rather not disclose,rather not disclose,no importance
10751,rather not disclose,rather not disclose,no importance
10752,agnosticism and laughing about it,agnosticism,laughing
10753,agnosticism and laughing about it,agnosticism,laughing
10754,other and somewhat serious about it,other,no importance
10755,agnosticism but not too serious about it,agnosticism,not too serious
10756,rather not disclose,rather not disclose,no importance
10757,christianity and very serious about it,christianity,very serious
10758,rather not disclose,rather not disclose,no importance
10759,catholicism but not too serious about it,catholicism,not too serious
10760,agnosticism,agnosticism,no importance
10761,atheism and somewhat serious about it,atheism,somewhat serious
10762,catholicism but not too serious about it,catholicism,not too serious
10763,other and laughing about it,other,no importance
10764,rather not disclose,rather not disclose,no importance
10765,other but not too serious about it,other,no importance
10766,rather not disclose,rather not disclose,no importance
10767,other and laughing about it,other,no importance
10768,agnosticism but not too serious about it,agnosticism,not too serious
10769,christianity,christianity,no importance
10770,atheism,atheism,no importance
10771,atheism and very serious about it,atheism,very serious
10772,christianity and very serious about it,christianity,very serious
10773,agnosticism and laughing about it,agnosticism,laughing
10774,rather not disclose,rather not disclose,no importance
10775,agnosticism and laughing about it,agnosticism,laughing
10776,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10777,rather not disclose,rather not disclose,no importance
10778,atheism and laughing about it,atheism,laughing
10779,other,other,no importance
10780,agnosticism,agnosticism,no importance
10781,rather not disclose,rather not disclose,no importance
10782,catholicism and laughing about it,catholicism,laughing
10783,other and laughing about it,other,no importance
10784,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10785,christianity,christianity,no importance
10786,rather not disclose,rather not disclose,no importance
10787,other and laughing about it,other,no importance
10788,other,other,no importance
10789,rather not disclose,rather not disclose,no importance
10790,other and very serious about it,other,no importance
10791,buddhism,buddhism,no importance
10792,rather not disclose,rather not disclose,no importance
10793,rather not disclose,rather not disclose,no importance
10794,agnosticism and laughing about it,agnosticism,laughing
10795,atheism,atheism,no importance
10796,atheism and very serious about it,atheism,very serious
10797,rather not disclose,rather not disclose,no importance
10798,judaism and laughing about it,judaism,laughing
10799,other,other,no importance
10800,rather not disclose,rather not disclose,no importance
10801,christianity but not too serious about it,christianity,not too serious
10802,rather not disclose,rather not disclose,no importance
10803,other and laughing about it,other,no importance
10804,christianity but not too serious about it,christianity,not too serious
10805,rather not disclose,rather not disclose,no importance
10806,rather not disclose,rather not disclose,no importance
10807,agnosticism but not too serious about it,agnosticism,not too serious
10808,atheism and very serious about it,atheism,very serious
10809,christianity,christianity,no importance
10810,christianity,christianity,no importance
10811,agnosticism,agnosticism,no importance
10812,rather not disclose,rather not disclose,no importance
10813,rather not disclose,rather not disclose,no importance
10814,rather not disclose,rather not disclose,no importance
10815,rather not disclose,rather not disclose,no importance
10816,christianity but not too serious about it,christianity,not too serious
10817,christianity and somewhat serious about it,christianity,somewhat serious
10818,christianity,christianity,no importance
10819,rather not disclose,rather not disclose,no importance
10820,rather not disclose,rather not disclose,no importance
10821,rather not disclose,rather not disclose,no importance
10822,other and laughing about it,other,no importance
10823,other and laughing about it,other,no importance
10824,agnosticism but not too serious about it,agnosticism,not too serious
10825,rather not disclose,rather not disclose,no importance
10826,agnosticism and laughing about it,agnosticism,laughing
10827,agnosticism,agnosticism,no importance
10828,rather not disclose,rather not disclose,no importance
10829,agnosticism but not too serious about it,agnosticism,not too serious
10830,agnosticism,agnosticism,no importance
10831,other but not too serious about it,other,no importance
10832,rather not disclose,rather not disclose,no importance
10833,rather not disclose,rather not disclose,no importance
10834,other and laughing about it,other,no importance
10835,rather not disclose,rather not disclose,no importance
10836,christianity,christianity,no importance
10837,rather not disclose,rather not disclose,no importance
10838,other and very serious about it,other,no importance
10839,christianity,christianity,no importance
10840,agnosticism,agnosticism,no importance
10841,christianity,christianity,no importance
10842,christianity and somewhat serious about it,christianity,somewhat serious
10843,catholicism and laughing about it,catholicism,laughing
10844,agnosticism but not too serious about it,agnosticism,not too serious
10845,atheism,atheism,no importance
10846,catholicism,catholicism,no importance
10847,agnosticism and laughing about it,agnosticism,laughing
10848,other,other,no importance
10849,catholicism but not too serious about it,catholicism,not too serious
10850,christianity,christianity,no importance
10851,rather not disclose,rather not disclose,no importance
10852,agnosticism and laughing about it,agnosticism,laughing
10853,rather not disclose,rather not disclose,no importance
10854,rather not disclose,rather not disclose,no importance
10855,christianity and somewhat serious about it,christianity,somewhat serious
10856,christianity but not too serious about it,christianity,not too serious
10857,rather not disclose,rather not disclose,no importance
10858,agnosticism and laughing about it,agnosticism,laughing
10859,other and somewhat serious about it,other,no importance
10860,other,other,no importance
10861,rather not disclose,rather not disclose,no importance
10862,catholicism,catholicism,no importance
10863,atheism and very serious about it,atheism,very serious
10864,christianity but not too serious about it,christianity,not too serious
10865,rather not disclose,rather not disclose,no importance
10866,agnosticism,agnosticism,no importance
10867,rather not disclose,rather not disclose,no importance
10868,other,other,no importance
10869,rather not disclose,rather not disclose,no importance
10870,atheism,atheism,no importance
10871,catholicism,catholicism,no importance
10872,rather not disclose,rather not disclose,no importance
10873,rather not disclose,rather not disclose,no importance
10874,judaism and laughing about it,judaism,laughing
10875,catholicism but not too serious about it,catholicism,not too serious
10876,other but not too serious about it,other,no importance
10877,christianity,christianity,no importance
10878,rather not disclose,rather not disclose,no importance
10879,other,other,no importance
10880,rather not disclose,rather not disclose,no importance
10881,catholicism but not too serious about it,catholicism,not too serious
10882,rather not disclose,rather not disclose,no importance
10883,other and somewhat serious about it,other,no importance
10884,agnosticism and somewhat serious about it,agnosticism,somewhat serious
10885,other but not too serious about it,other,no importance
10886,atheism and laughing about it,atheism,laughing
10887,agnosticism and laughing about it,agnosticism,laughing
10888,rather not disclose,rather not disclose,no importance
10889,other,other,no importance
10890,atheism,atheism,no importance
10891,atheism,atheism,no importance
10892,agnosticism,agnosticism,no importance
10893,other,other,no importance
10894,catholicism,catholicism,no importance
10895,rather not disclose,rather not disclose,no importance
10896,christianity and somewhat serious about it,christianity,somewhat serious
10897,other and laughing about it,other,no importance
10898,agnosticism,agnosticism,no importance
10899,judaism but not too serious about it,judaism,not too serious
10900,other,other,no importance
10901,christianity,christianity,no importance
10902,agnosticism and laughing about it,agnosticism,laughing
10903,catholicism but not too serious about it,catholicism,not too serious
10904,rather not disclose,rather not disclose,no importance
10905,atheism,atheism,no importance
10906,other but not too serious about it,other,no importance
10907,rather not disclose,rather not disclose,no importance
10908,atheism,atheism,no importance
10909,rather not disclose,rather not disclose,no importance
10910,hinduism but not too serious about it,hinduism,not too serious
10911,rather not disclose,rather not disclose,no importance
10912,atheism and somewhat serious about it,atheism,somewhat serious
10913,agnosticism and laughing about it,agnosticism,laughing
10914,agnosticism and very serious about it,agnosticism,very serious
10915,agnosticism but not too serious about it,agnosticism,not too serious
10916,rather not disclose,rather not disclose,no importance
10917,buddhism but not too serious about it,buddhism,not too serious
10918,rather not disclose,rather not disclose,no importance
10919,rather not disclose,rather not disclose,no importance
10920,christianity but not too serious about it,christianity,not too serious
10921,rather not disclose,rather not disclose,no importance
10922,other,other,no importance
10923,other and somewhat serious about it,other,no importance
10924,other and laughing about it,other,no importance
10925,catholicism and somewhat serious about it,catholicism,somewhat serious
10926,rather not disclose,rather not disclose,no importance
10927,atheism and laughing about it,atheism,laughing
10928,agnosticism and laughing about it,agnosticism,laughing
10929,agnosticism and very serious about it,agnosticism,very serious
10930,other but not too serious about it,other,no importance
10931,atheism and laughing about it,atheism,laughing
10932,agnosticism and laughing about it,agnosticism,laughing
10933,rather not disclose,rather not disclose,no importance
10934,atheism and laughing about it,atheism,laughing
10935,rather not disclose,rather not disclose,no importance
10936,rather not disclose,rather not disclose,no importance
10937,agnosticism and laughing about it,agnosticism,laughing
10938,rather not disclose,rather not disclose,no importance
10939,agnosticism and laughing about it,agnosticism,laughing
10940,rather not disclose,rather not disclose,no importance
10941,other,other,no importance
10942,rather not disclose,rather not disclose,no importance
10943,rather not disclose,rather not disclose,no importance
10944,catholicism,catholicism,no importance
10945,other and laughing about it,other,no importance
10946,judaism but not too serious about it,judaism,not too serious
10947,catholicism but not too serious about it,catholicism,not too serious
10948,rather not disclose,rather not disclose,no importance
10949,rather not disclose,rather not disclose,no importance
10950,atheism but not too serious about it,atheism,not too serious
10951,catholicism but not too serious about it,catholicism,not too serious
10952,catholicism but not too serious about it,catholicism,not too serious
10953,atheism and very serious about it,atheism,very serious
10954,judaism but not too serious about it,judaism,not too serious
10955,rather not disclose,rather not disclose,no importance
10956,atheism but not too serious about it,atheism,not too serious
10957,rather not disclose,rather not disclose,no importance
10958,catholicism,catholicism,no importance
10959,other but not too serious about it,other,no importance
10960,rather not disclose,rather not disclose,no importance
10961,rather not disclose,rather not disclose,no importance
10962,judaism and somewhat serious about it,judaism,somewhat serious
10963,agnosticism and laughing about it,agnosticism,laughing
10964,christianity,christianity,no importance
10965,other but not too serious about it,other,no importance
10966,rather not disclose,rather not disclose,no importance
10967,agnosticism,agnosticism,no importance
10968,catholicism but not too serious about it,catholicism,not too serious
10969,judaism and somewhat serious about it,judaism,somewhat serious
10970,christianity and somewhat serious about it,christianity,somewhat serious
10971,judaism,judaism,no importance
10972,atheism and very serious about it,atheism,very serious
10973,catholicism,catholicism,no importance
10974,rather not disclose,rather not disclose,no importance
10975,rather not disclose,rather not disclose,no importance
10976,rather not disclose,rather not disclose,no importance
10977,rather not disclose,rather not disclose,no importance
10978,christianity but not too serious about it,christianity,not too serious
10979,atheism and very serious about it,atheism,very serious
10980,agnosticism and laughing about it,agnosticism,laughing
10981,rather not disclose,rather not disclose,no importance
10982,rather not disclose,rather not disclose,no importance
10983,christianity and laughing about it,christianity,laughing
10984,catholicism,catholicism,no importance
10985,rather not disclose,rather not disclose,no importance
10986,christianity but not too serious about it,christianity,not too serious
10987,other but not too serious about it,other,no importance
10988,rather not disclose,rather not disclose,no importance
10989,christianity but not too serious about it,christianity,not too serious
10990,atheism and laughing about it,atheism,laughing
10991,atheism,atheism,no importance
10992,agnosticism and laughing about it,agnosticism,laughing
10993,rather not disclose,rather not disclose,no importance
10994,rather not disclose,rather not disclose,no importance
10995,agnosticism but not too serious about it,agnosticism,not too serious
10996,atheism but not too serious about it,atheism,not too serious
10997,rather not disclose,rather not disclose,no importance
10998,rather not disclose,rather not disclose,no importance
10999,catholicism but not too serious about it,catholicism,not too serious
11000,catholicism,catholicism,no importance
11001,christianity,christianity,no importance
11002,agnosticism but not too serious about it,agnosticism,not too serious
11003,other,other,no importance
11004,catholicism,catholicism,no importance
11005,other and laughing about it,other,no importance
11006,catholicism but not too serious about it,catholicism,not too serious
11007,catholicism and laughing about it,catholicism,laughing
11008,other,other,no importance
11009,other,other,no importance
11010,agnosticism but not too serious about it,agnosticism,not too serious
11011,other,other,no importance
11012,catholicism but not too serious about it,catholicism,not too serious
11013,buddhism but not too serious about it,buddhism,not too serious
11014,atheism,atheism,no importance
11015,christianity and somewhat serious about it,christianity,somewhat serious
11016,agnosticism,agnosticism,no importance
11017,rather not disclose,rather not disclose,no importance
11018,catholicism,catholicism,no importance
11019,christianity and very serious about it,christianity,very serious
11020,atheism and very serious about it,atheism,very serious
11021,other but not too serious about it,other,no importance
11022,rather not disclose,rather not disclose,no importance
11023,catholicism but not too serious about it,catholicism,not too serious
11024,agnosticism and very serious about it,agnosticism,very serious
11025,atheism and laughing about it,atheism,laughing
11026,christianity but not too serious about it,christianity,not too serious
11027,buddhism but not too serious about it,buddhism,not too serious
11028,other but not too serious about it,other,no importance
11029,agnosticism but not too serious about it,agnosticism,not too serious
11030,rather not disclose,rather not disclose,no importance
11031,rather not disclose,rather not disclose,no importance
11032,other and laughing about it,other,no importance
11033,atheism and laughing about it,atheism,laughing
11034,rather not disclose,rather not disclose,no importance
11035,rather not disclose,rather not disclose,no importance
11036,rather not disclose,rather not disclose,no importance
11037,rather not disclose,rather not disclose,no importance
11038,agnosticism but not too serious about it,agnosticism,not too serious
11039,christianity,christianity,no importance
11040,agnosticism,agnosticism,no importance
11041,atheism and somewhat serious about it,atheism,somewhat serious
11042,atheism but not too serious about it,atheism,not too serious
11043,agnosticism,agnosticism,no importance
11044,agnosticism,agnosticism,no importance
11045,buddhism and laughing about it,buddhism,laughing
11046,rather not disclose,rather not disclose,no importance
11047,rather not disclose,rather not disclose,no importance
11048,other and somewhat serious about it,other,no importance
11049,rather not disclose,rather not disclose,no importance
11050,rather not disclose,rather not disclose,no importance
11051,other and very serious about it,other,no importance
11052,judaism and laughing about it,judaism,laughing
11053,other but not too serious about it,other,no importance
11054,rather not disclose,rather not disclose,no importance
11055,agnosticism but not too serious about it,agnosticism,not too serious
11056,rather not disclose,rather not disclose,no importance
11057,other and laughing about it,other,no importance
11058,agnosticism but not too serious about it,agnosticism,not too serious
11059,agnosticism and laughing about it,agnosticism,laughing
11060,judaism but not too serious about it,judaism,not too serious
11061,catholicism and laughing about it,catholicism,laughing
11062,rather not disclose,rather not disclose,no importance
11063,rather not disclose,rather not disclose,no importance
11064,catholicism but not too serious about it,catholicism,not too serious
11065,catholicism and laughing about it,catholicism,laughing
11066,agnosticism and laughing about it,agnosticism,laughing
11067,rather not disclose,rather not disclose,no importance
11068,agnosticism,agnosticism,no importance
11069,rather not disclose,rather not disclose,no importance
